split,prefix,feature_set,feature,coef
prompt_disjoint,0.25,metadata,task_type=math,-0.5026256527377686
prompt_disjoint,0.25,metadata,gen_model=qwen35_27b,0.40750483734918896
prompt_disjoint,0.25,metadata,gen_model=qwen35_9b,0.3272017307979478
prompt_disjoint,0.25,metadata,task_type=idea,0.30048993969325916
prompt_disjoint,0.25,metadata,difficulty_raw=hard,-0.29707354762963
prompt_disjoint,0.25,metadata,gen_model=qwen35_4b,0.27863031926803056
prompt_disjoint,0.25,metadata,gen_model=reasoner,0.2743045578506272
prompt_disjoint,0.25,metadata,difficulty_raw=__missing__,0.26615307865195464
prompt_disjoint,0.25,metadata,task_type=gpqa,0.20644824463799205
prompt_disjoint,0.25,metadata,difficulty_raw=Physics,0.20537700484436566
prompt_disjoint,0.25,metadata,difficulty_raw=easy,0.1685846241362428
prompt_disjoint,0.25,metadata,task_type=planning,0.16153104107885896
prompt_disjoint,0.25,metadata,difficulty_raw=progression_mcq,0.1150043237522543
prompt_disjoint,0.25,metadata,difficulty_raw=Biology,0.092186486097245
prompt_disjoint,0.25,metadata,difficulty_raw=medium,-0.08959315060601154
prompt_disjoint,0.25,metadata,difficulty_raw=applicable_actions_mc,0.08399048301579116
prompt_disjoint,0.25,metadata,difficulty_raw=4,0.08251481639937804
prompt_disjoint,0.25,metadata,difficulty_raw=landmarks_mcq,0.07319490757039468
prompt_disjoint,0.25,metadata,difficulty_raw=3,0.06445517516606743
prompt_disjoint,0.25,metadata,difficulty_raw=reachable_atom_mc,0.057105079521989593
prompt_disjoint,0.25,length,task_type=math,-0.5373178983689197
prompt_disjoint,0.25,length,gen_model=qwen35_27b,0.4564477995340233
prompt_disjoint,0.25,length,gen_model=qwen35_9b,0.3903964637860747
prompt_disjoint,0.25,length,gen_model=qwen35_4b,0.35467304096311264
prompt_disjoint,0.25,length,task_type=idea,0.3015857680352971
prompt_disjoint,0.25,length,gen_model=reasoner,0.2922867228916519
prompt_disjoint,0.25,length,difficulty_raw=hard,-0.2717867850762192
prompt_disjoint,0.25,length,difficulty_raw=__missing__,0.26722163609452265
prompt_disjoint,0.25,length,task_type=gpqa,0.22294926065617698
prompt_disjoint,0.25,length,difficulty_raw=Physics,0.20315880104910017
prompt_disjoint,0.25,length,task_type=planning,0.16892088422736068
prompt_disjoint,0.25,length,difficulty_raw=easy,0.16093091736867557
prompt_disjoint,0.25,length,prefix_segments,-0.1535057079619156
