split,prefix,feature_set,baseline,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_log_loss,delta_brier
prompt_disjoint,0.25,length,metadata,0.004865116058099583,0.003130464558596463,0.006813233754104989,-0.0013024251370624684,-0.0008544581747250424
prompt_disjoint,0.25,counts,length,0.0013903007833522274,-0.0019190521596890275,0.0033884698291060857,-0.0028299904053790126,-0.0007596381137934816
prompt_disjoint,0.25,temporal,counts,-0.0022601052053082826,-0.0038910173501336244,-0.001152437110704191,0.001476334870928464,0.0006948534979461241
prompt_disjoint,0.25,time_shuffled,counts,-1.7984325760833642e-06,-5.423422572720105e-06,2.146279597811662e-06,1.1110828324056854e-06,5.935331227890916e-07
prompt_disjoint,0.25,temporal,time_shuffled,-0.0022583067727321993,-0.00392475518720409,-0.0004159553578391292,0.0014752237880960584,0.000694259964823335
random_trace,0.25,length,metadata,0.004661012694386235,0.002780366521415037,0.006197198220196356,-0.0012122117184670822,-0.000831028127552369
random_trace,0.25,counts,length,0.0017324900482984518,-0.0005682913297058168,0.0043431836789471125,-0.003309864902916848,-0.0009666682037626495
random_trace,0.25,temporal,counts,-0.002149857541659639,-0.004320885550723108,-0.0003689531710274892,0.0015250539635190963,0.0006406765095317568
random_trace,0.25,time_shuffled,counts,-1.611095849396449e-06,-5.672130696654509e-06,9.162247210481302e-07,6.592694306029045e-07,4.182354936266286e-07
random_trace,0.25,temporal,time_shuffled,-0.0021482464458102424,-0.0034749974078670254,-0.00030398083714377496,0.0015243946940884934,0.0006402582740381302
prompt_disjoint,0.5,length,metadata,0.004866052741732907,0.0032188858718699837,0.00607422538135737,-0.0013020892992285926,-0.0008544262594897267
prompt_disjoint,0.5,counts,length,0.0035209937778729605,0.000489683671023014,0.0065787438527889295,-0.006076369482127086,-0.0018716276987563452
prompt_disjoint,0.5,temporal,counts,-0.0012784607575268003,-0.0032062971779565712,0.0011847390268101858,0.00047696278841347084,0.00028059801104862725
prompt_disjoint,0.5,time_shuffled,counts,-4.009005950877942e-06,-9.91621832803491e-06,1.0646032922861925e-06,1.0650342421314463e-06,5.628571801419291e-07
prompt_disjoint,0.5,temporal,time_shuffled,-0.0012744517515759224,-0.002787019771791904,0.0009198514436883155,0.0004758977541713394,0.0002800351538684853
random_trace,0.5,length,metadata,0.004659026925083465,0.0029772065011820672,0.006881665044739357,-0.0012118123338956677,-0.0008309561908144414
random_trace,0.5,counts,length,0.003464848960888167,0.0005987624694049093,0.0067207687126381,-0.006193091011438168,-0.00195878588961515
random_trace,0.5,temporal,counts,-0.0009019701379262557,-0.0023682802549105987,0.00036484288852440806,0.0004429871420256193,0.00023093824997727497
random_trace,0.5,time_shuffled,counts,-3.5593978068293453e-06,-6.759590433391693e-06,1.960268161693701e-06,9.657055164424833e-07,4.857318808837441e-07
random_trace,0.5,temporal,time_shuffled,-0.0008984107401194263,-0.002750106247853751,0.0009039477714410686,0.0004420214365091768,0.00023045251809639122
prompt_disjoint,0.75,length,metadata,0.004863055354106138,0.0030507453391292265,0.006279572911499656,-0.0013018086534911655,-0.0008543192078231121
prompt_disjoint,0.75,counts,length,0.006167181243187492,0.0019505987795653823,0.008772764979759273,-0.008369388376689435,-0.002652503111972293
prompt_disjoint,0.75,temporal,counts,-0.001991745344345097,-0.0037006507233137338,-0.00011635398263473492,0.0009652462029150488,0.0004079332465858898
prompt_disjoint,0.75,time_shuffled,counts,-3.1472570081181317e-06,-9.742362467829446e-06,3.3994101530959675e-06,1.0059323004574239e-06,6.055980451835641e-07
prompt_disjoint,0.75,temporal,time_shuffled,-0.001988598087336979,-0.0038896648891962567,7.966718776663176e-05,0.0009642402706145914,0.00040732764854070624
random_trace,0.75,length,metadata,0.004657415829234068,0.002611297472047483,0.0067614753819985485,-0.0012117091298134985,-0.0008309424447379699
random_trace,0.75,counts,length,0.00588647589193636,0.0025499093585656107,0.009750117558274079,-0.008353709898096029,-0.0026420387381246024
random_trace,0.75,temporal,counts,-0.0015827143353209783,-0.0035106754714513606,-0.00011638235670335676,0.0008330608952650254,0.00031643888882718074
random_trace,0.75,time_shuffled,counts,-1.1240203600104692e-06,-4.90027776826607e-06,4.329594457885831e-06,9.896902735118118e-07,6.221988316235105e-07
random_trace,0.75,temporal,time_shuffled,-0.0015815903149609678,-0.003233367854633315,0.0005000159158214634,0.0008320712049915135,0.00031581668999555723
prompt_disjoint,1.0,length,metadata,0.004864029505084799,0.0032617888095378108,0.006170991482548835,-0.0013018953411690903,-0.0008543853438131577
prompt_disjoint,1.0,counts,length,0.008754526242653271,0.005082604569004323,0.012706461783128986,-0.011434304817119711,-0.0038042892761944724
prompt_disjoint,1.0,temporal,counts,0.0005054719559167697,-0.001705899840744368,0.002495120661998772,-0.0011528037793130386,-0.0006380664364935562
prompt_disjoint,1.0,time_shuffled,counts,-5.095558965551028e-06,-1.1146196887681925e-05,1.3734080817173715e-06,1.2831960833903366e-06,6.829857313039867e-07
prompt_disjoint,1.0,temporal,time_shuffled,0.0005105675148823208,-0.0014793435586097135,0.0025014476344005026,-0.001154086975396429,-0.0006387494222248602
random_trace,1.0,length,metadata,0.004659532734245464,0.00355316715594019,0.0066673366422755,-0.001211807747604432,-0.0008310107473994965
random_trace,1.0,counts,length,0.008878262150622707,0.004326330708668216,0.013625170767322831,-0.011820029710147728,-0.0039378344442920765
random_trace,1.0,temporal,counts,0.0014035642236008838,-0.0005415920760999975,0.003263269168130725,-0.0017656781319429493,-0.0009122543854587217
random_trace,1.0,time_shuffled,counts,-3.297126389578686e-06,-9.836772507199053e-06,1.5015848455923733e-06,1.0683715333525967e-06,6.445013057410076e-07
random_trace,1.0,temporal,time_shuffled,0.0014068613499904625,-0.0009458472701936504,0.0030460079537805132,-0.001766746503476302,-0.0009128988867644627
