gen_model,task_type,n_traces,n_completed,tokens_min,tokens_q25,tokens_median,tokens_q75,tokens_max,segments_min,segments_median,segments_max,n_noncompleted_failure_mode,completion_rate
anchor,code,175,174,53,288.0,359.0,491.0,4096,2,12.0,288,1,0.9942857142857143
anchor,gpqa,500,446,178,428.0,554.0,887.0,4096,7,19.0,218,54,0.892
anchor,idea,500,500,280,495.0,545.0,598.0,788,9,26.0,54,0,1.0
anchor,math,500,472,40,196.0,344.0,675.0,4096,1,10.0,189,28,0.944
anchor,moral,500,500,7,554.0,620.0,678.0,946,2,30.0,53,0,1.0
anchor,planning,500,492,140,338.0,427.0,597.0,4096,7,21.0,500,8,0.984
anchor,safety,313,313,7,8.0,16.0,27.0,1582,1,1.0,105,0,1.0
anchor,security,500,439,8,277.0,426.5,1077.0,4096,1,18.0,226,61,0.878
gemma4_31b,code,175,175,387,2650.0,8022.0,11032.0,21859,8,240.0,714,0,1.0
gemma4_31b,gpqa,500,500,631,2579.0,4860.5,7956.0,20020,16,133.5,1026,0,1.0
gemma4_31b,idea,500,500,851,1081.0,1189.0,1375.0,2465,24,38.0,80,0,1.0
gemma4_31b,math,500,500,209,838.0,1224.0,1926.0,16109,1,20.5,751,0,1.0
gemma4_31b,moral,500,500,1050,1487.0,1609.5,1726.0,3246,22,38.0,119,0,1.0
gemma4_31b,planning,500,500,736,1834.0,3209.0,5638.0,19424,10,108.0,776,0,1.0
gemma4_31b,safety,313,313,126,223.0,314.0,433.0,1432,3,11.0,35,0,1.0
gemma4_31b,security,500,496,470,1051.0,3445.0,9828.0,64677,7,75.5,525,4,0.992
gemma4_e4b,code,175,175,454,2790.0,6450.0,10323.0,24947,14,284.0,1298,0,1.0
gemma4_e4b,gpqa,500,500,678,1713.0,2482.5,3618.0,12084,9,51.0,373,0,1.0
gemma4_e4b,idea,500,500,936,1117.0,1196.5,1274.0,1505,20,29.0,45,0,1.0
gemma4_e4b,math,500,500,82,897.0,1405.0,2379.0,14115,5,30.0,431,0,1.0
gemma4_e4b,moral,500,500,1069,1450.0,1593.5,1769.0,2459,5,22.0,52,0,1.0
gemma4_e4b,planning,500,500,832,1535.0,2050.5,2822.0,12178,23,66.0,606,0,1.0
gemma4_e4b,safety,313,313,7,23.0,42.0,101.0,2024,5,13.0,33,0,1.0
gemma4_e4b,security,500,500,479,974.0,1984.5,5688.0,16657,7,45.0,516,0,1.0
qwen35_27b,code,175,158,489,10275.0,22382.0,33948.0,65304,15,1146.0,3310,17,0.9028571428571428
qwen35_27b,gpqa,500,489,1199,7285.0,11366.5,15720.0,65422,46,520.0,2097,11,0.978
qwen35_27b,idea,500,498,1139,3942.0,4895.0,5848.0,65491,44,234.0,526,2,0.996
qwen35_27b,math,500,439,434,2918.0,7337.5,15153.0,65510,16,286.0,2425,61,0.878
qwen35_27b,moral,500,497,1766,2434.0,2696.5,3091.0,65237,56,92.0,1033,3,0.994
qwen35_27b,planning,500,499,1085,3485.0,6220.0,8797.0,63960,47,352.0,1822,1,0.998
qwen35_27b,safety,313,313,314,1016.0,1319.0,1543.0,2953,6,58.0,191,0,1.0
qwen35_27b,security,500,459,637,2969.0,6647.5,15710.0,65452,21,285.0,4108,41,0.918
qwen35_4b,code,175,92,540,5764.0,27746.0,64941.0,65297,10,361.5,3730,83,0.5257142857142857
qwen35_4b,gpqa,500,334,1267,12412.0,21872.5,65241.0,65459,38,779.0,2531,166,0.668
qwen35_4b,idea,500,161,2652,6276.0,65489.0,65490.0,65491,119,243.0,485,339,0.322
qwen35_4b,math,500,408,403,4382.0,10598.0,24469.0,65514,13,357.0,2737,92,0.816
qwen35_4b,moral,500,420,1812,2678.0,3300.0,4885.0,65451,55,123.0,840,80,0.84
qwen35_4b,planning,500,443,1174,8255.0,12099.0,17267.0,65270,34,663.5,2630,57,0.886
qwen35_4b,safety,313,291,248,1331.0,1623.0,2019.0,65519,6,79.0,587,22,0.9297124600638977
qwen35_4b,security,500,184,632,6740.0,64427.0,65199.0,65474,25,281.0,1308,316,0.368
qwen35_9b,code,175,129,431,2580.0,15034.0,64278.0,65207,9,330.0,2488,46,0.7371428571428571
qwen35_9b,gpqa,500,418,1366,10721.0,17792.0,28952.0,65459,27,753.0,3344,82,0.836
qwen35_9b,idea,500,344,2049,5622.0,6789.5,65489.0,65491,94,295.5,587,156,0.688
qwen35_9b,math,500,438,513,3401.0,7913.0,19483.0,65511,15,311.0,3528,62,0.876
qwen35_9b,moral,500,485,1637,2580.0,2966.5,3812.0,65445,53,110.0,983,15,0.97
qwen35_9b,planning,500,490,1130,6185.0,9262.5,12696.0,65244,44,533.0,2348,10,0.98
qwen35_9b,safety,313,308,272,1180.0,1434.0,1756.0,65513,6,69.0,195,5,0.9840255591054313
qwen35_9b,security,500,303,557,4197.0,12924.0,64606.0,65480,20,258.0,1580,197,0.606
reasoner,code,175,154,401,7613.0,12970.0,16397.0,65370,38,571.5,1232,21,0.88
reasoner,gpqa,500,484,465,2375.0,5550.5,9468.0,65450,3,228.0,1896,16,0.968
reasoner,idea,500,493,500,845.0,1131.5,1633.0,65495,18,46.0,444,7,0.986
reasoner,math,500,498,176,615.0,1954.0,4604.0,65299,2,76.5,1297,2,0.996
reasoner,moral,500,500,521,976.0,1143.5,1369.0,2269,13,43.0,98,0,1.0
reasoner,planning,500,442,351,1547.0,2918.5,5860.0,65345,7,146.0,2727,58,0.884
reasoner,safety,313,313,195,796.0,1053.0,1232.0,53866,12,43.0,1623,0,1.0
reasoner,security,500,397,287,712.0,1553.0,12941.0,65380,13,49.0,1014,103,0.794
