context_mode,gen_model,task_type,n_rows,n_traces,n_parsed_rows,n_parse_failure_rows,n_rows_with_null_behavior,n_truncated_context_rows,median_n_segments
full,anchor,code,2746,175,2746,0,0,0,17.0
full,anchor,gpqa,15482,500,15482,0,0,0,36.0
full,anchor,idea,12923,500,12923,0,0,0,27.0
full,anchor,math,8308,500,8307,1,1,0,22.0
full,anchor,moral,14861,499,14861,0,0,0,31.0
full,anchor,planning,14993,500,14993,0,0,0,30.0
full,anchor,safety,929,312,929,0,0,0,9.0
full,anchor,security,16477,500,16477,0,0,0,51.0
full,gemma4_31b,code,39966,175,39966,0,0,0,329.0
full,gemma4_31b,gpqa,87722,500,87722,0,0,0,285.0
full,gemma4_31b,idea,19385,500,19385,0,0,0,39.0
full,gemma4_31b,math,22927,500,22926,1,1,0,121.0
full,gemma4_31b,moral,19310,500,19310,0,0,0,39.0
full,gemma4_31b,planning,74381,500,74361,20,20,0,243.0
full,gemma4_31b,safety,4105,313,4105,0,0,0,17.0
full,gemma4_31b,security,59763,496,59763,0,0,0,212.0
full,gemma4_e4b,code,57046,175,57046,0,0,0,478.0
full,gemma4_e4b,gpqa,32137,500,32137,0,0,0,77.0
full,gemma4_e4b,idea,14835,500,14835,0,0,0,30.0
full,gemma4_e4b,math,24769,485,24769,0,0,0,88.0
full,gemma4_e4b,moral,12437,500,12437,0,0,0,30.0
full,gemma4_e4b,planning,40466,500,40466,0,0,0,90.0
full,gemma4_e4b,safety,840,57,840,0,0,0,14.0
full,gemma4_e4b,security,52460,500,52460,0,0,0,232.0
full,qwen35_27b,code,173822,159,173822,0,0,0,1410.0
full,qwen35_27b,gpqa,290981,490,290981,0,0,0,731.0
full,qwen35_27b,idea,117108,498,117108,0,0,0,254.0
full,qwen35_27b,math,168763,439,168763,0,0,0,634.0
full,qwen35_27b,moral,53290,497,53290,0,0,0,103.0
full,qwen35_27b,planning,197568,499,197568,0,0,0,517.0
full,qwen35_27b,safety,18898,313,18898,0,0,0,69.0
full,qwen35_27b,security,194159,460,194139,20,20,0,712.0
full,qwen35_4b,code,47670,94,47650,20,20,0,843.0
full,qwen35_4b,gpqa,283403,339,283383,20,20,0,1028.0
full,qwen35_4b,idea,40363,161,40363,0,0,0,257.0
full,qwen35_4b,math,212219,409,212219,0,0,0,847.0
full,qwen35_4b,moral,62119,420,62119,0,0,0,158.0
full,qwen35_4b,planning,315177,448,315177,0,0,0,827.0
full,qwen35_4b,safety,23864,291,23864,0,0,0,96.0
full,qwen35_4b,security,58908,185,58908,0,0,0,457.0
full,qwen35_9b,code,72447,131,72407,40,40,0,1219.0
full,qwen35_9b,gpqa,363188,422,363188,0,0,0,1095.0
full,qwen35_9b,idea,102505,344,102505,0,0,0,311.0
full,qwen35_9b,math,208716,439,208716,0,0,0,874.0
full,qwen35_9b,moral,68782,485,68782,0,0,0,148.0
full,qwen35_9b,planning,287571,493,287551,20,20,0,686.0
full,qwen35_9b,safety,21712,308,21712,0,0,0,79.0
full,qwen35_9b,security,105897,303,105877,20,20,0,522.0
full,reasoner,code,85716,154,85716,0,0,0,680.0
full,reasoner,gpqa,129299,484,129299,0,0,0,386.0
full,reasoner,idea,29745,493,29745,0,0,0,69.0
full,reasoner,math,71413,498,71413,0,0,0,342.0
full,reasoner,moral,22965,500,22965,0,0,0,48.0
full,reasoner,planning,89566,458,89566,0,0,0,281.0
full,reasoner,safety,15180,312,15180,0,0,0,50.0
full,reasoner,security,53238,398,53238,0,0,0,335.0
isolated,anchor,code,2746,175,2746,0,0,0,17.0
isolated,anchor,gpqa,15482,500,15482,0,0,0,36.0
isolated,anchor,idea,12923,500,12923,0,0,0,27.0
isolated,anchor,math,8308,500,8307,1,1,0,22.0
isolated,anchor,moral,14861,499,14861,0,0,0,31.0
isolated,anchor,planning,14993,500,14993,0,0,0,30.0
isolated,anchor,safety,929,312,929,0,0,0,9.0
isolated,anchor,security,16477,500,16477,0,0,0,51.0
isolated,gemma4_31b,code,39966,175,39966,0,0,0,329.0
isolated,gemma4_31b,gpqa,87722,500,87722,0,0,0,285.0
isolated,gemma4_31b,idea,19385,500,19385,0,0,0,39.0
isolated,gemma4_31b,math,22927,500,22926,1,1,0,121.0
isolated,gemma4_31b,moral,19310,500,19310,0,0,0,39.0
isolated,gemma4_31b,planning,74381,500,74381,0,0,0,243.0
isolated,gemma4_31b,safety,4105,313,4105,0,0,0,17.0
isolated,gemma4_31b,security,59763,496,59763,0,0,0,212.0
isolated,gemma4_e4b,code,57046,175,57046,0,0,0,478.0
isolated,gemma4_e4b,gpqa,32137,500,32137,0,0,0,77.0
isolated,gemma4_e4b,idea,14835,500,14826,9,9,0,30.0
isolated,gemma4_e4b,math,24769,485,24769,0,0,0,88.0
isolated,gemma4_e4b,moral,12437,500,12437,0,0,0,30.0
isolated,gemma4_e4b,planning,40466,500,40446,20,20,0,90.0
isolated,gemma4_e4b,safety,840,57,840,0,0,0,14.0
isolated,gemma4_e4b,security,52460,500,52460,0,0,0,232.0
isolated,qwen35_27b,code,173822,159,173782,40,40,0,1410.0
isolated,qwen35_27b,gpqa,290981,490,290981,0,0,0,731.0
isolated,qwen35_27b,idea,117108,498,117108,0,0,0,254.0
isolated,qwen35_27b,math,168763,439,168743,20,20,0,634.0
isolated,qwen35_27b,moral,53290,497,53290,0,0,0,103.0
isolated,qwen35_27b,planning,197568,499,197508,60,60,0,517.0
isolated,qwen35_27b,safety,18898,313,18898,0,0,0,69.0
isolated,qwen35_27b,security,194159,460,194119,40,40,0,712.0
isolated,qwen35_4b,code,47670,94,47610,60,60,0,843.0
isolated,qwen35_4b,gpqa,283403,339,283363,40,40,0,1028.0
isolated,qwen35_4b,idea,40363,161,40363,0,0,0,257.0
isolated,qwen35_4b,math,212219,409,212219,0,0,0,847.0
isolated,qwen35_4b,moral,62119,420,62119,0,0,0,158.0
isolated,qwen35_4b,planning,315177,448,315097,80,80,0,827.0
isolated,qwen35_4b,safety,23864,291,23864,0,0,0,96.0
isolated,qwen35_4b,security,58908,185,58888,20,20,0,457.0
isolated,qwen35_9b,code,72447,131,72427,20,20,0,1219.0
isolated,qwen35_9b,gpqa,363188,422,363168,20,20,0,1095.0
isolated,qwen35_9b,idea,102505,344,102505,0,0,0,311.0
isolated,qwen35_9b,math,208716,439,208716,0,0,0,874.0
isolated,qwen35_9b,moral,68782,485,68782,0,0,0,148.0
isolated,qwen35_9b,planning,287571,493,287511,60,60,0,686.0
isolated,qwen35_9b,safety,21712,308,21712,0,0,0,79.0
isolated,qwen35_9b,security,105897,303,105897,0,0,0,522.0
isolated,reasoner,code,85716,154,85716,0,0,0,680.0
isolated,reasoner,gpqa,129299,484,129299,0,0,0,386.0
isolated,reasoner,idea,29745,493,29745,0,0,0,69.0
isolated,reasoner,math,71413,498,71413,0,0,0,342.0
isolated,reasoner,moral,22965,500,22965,0,0,0,48.0
isolated,reasoner,planning,89566,458,89546,20,20,0,281.0
isolated,reasoner,safety,15180,312,15180,0,0,0,50.0
isolated,reasoner,security,53238,398,53238,0,0,0,335.0
