behavior_a,behavior_b,observed,expected,log_lift,pair_family
Question_and_Answering,Perspective_Shift,0.8094931271477663,0.7912104912019078,0.022844214211355112,within_family
Question_and_Answering,Conflict_of_Perspectives,0.7629939862542955,0.7003504270346211,0.08566921248251347,within_family
Question_and_Answering,Reconciliation,0.7569802405498282,0.7032007668854289,0.07369461281884893,within_family
Question_and_Answering,verification,0.7558526632302406,0.7209605767250771,0.04726194606577143,cross_family
Question_and_Answering,backtracking,0.6208118556701031,0.541915382712031,0.13591796278716778,cross_family
Question_and_Answering,subgoal,0.7953715635738832,0.7779235223589116,0.02218113379695335,cross_family
Question_and_Answering,backward_chaining,0.17445231958762886,0.1515503772983314,0.14073250478769897,cross_family
Perspective_Shift,Conflict_of_Perspectives,0.854381443298969,0.8307970253113524,0.02799220427437636,within_family
Perspective_Shift,Reconciliation,0.8591065292096219,0.8341782667267452,0.02944576629789933,within_family
Perspective_Shift,verification,0.8646907216494846,0.855246001699577,0.010982734160268591,cross_family
Perspective_Shift,backtracking,0.6617268041237113,0.6428520217142127,0.02893818334828323,cross_family
Perspective_Shift,subgoal,0.9272981099656358,0.922818810908734,0.004842183665537056,cross_family
Perspective_Shift,backward_chaining,0.18519115120274915,0.17977800510149858,0.029665594046977613,cross_family
Conflict_of_Perspectives,Reconciliation,0.8136812714776632,0.738383921625719,0.09710469727737177,within_family
Conflict_of_Perspectives,verification,0.7836662371134021,0.7570323057775283,0.03457723825810418,cross_family
Conflict_of_Perspectives,backtracking,0.657860824742268,0.5690289662915087,0.14506181890555866,cross_family
Conflict_of_Perspectives,subgoal,0.8345146048109966,0.8168452712422207,0.021400527859821154,cross_family
Conflict_of_Perspectives,backward_chaining,0.18094931271477663,0.15913287809544055,0.12847662965476642,cross_family
Reconciliation,verification,0.7822164948453608,0.7601133338831911,0.028663966990545332,cross_family
Reconciliation,backtracking,0.6440614261168385,0.5713448439954063,0.1198009488124466,cross_family
Reconciliation,subgoal,0.836340206185567,0.8201697307394811,0.019524144383108545,cross_family
Reconciliation,backward_chaining,0.18175472508591065,0.15978052928047615,0.1288561755310308,cross_family
verification,backtracking,0.6392826460481099,0.5857745435350757,0.08741156172480552,within_family
verification,subgoal,0.8518578178694158,0.8408836706839492,0.01296628935371399,within_family
verification,backward_chaining,0.18390249140893472,0.16381589435646723,0.11566181054698588,within_family
backtracking,subgoal,0.6532968213058419,0.6320564687252748,0.033052785394869034,within_family
backtracking,backward_chaining,0.16919029209621994,0.12313343607184611,0.3177532459927084,within_family
subgoal,backward_chaining,0.18341924398625428,0.17675895419279414,0.03698731422185961,within_family
