population,gen_model,task_type,n,dialectical_density,executive_density
all_valid,gemma4_31b,code,175,0.056706609506192204,0.06211708543989958
all_valid,gemma4_31b,gpqa,500,0.09369574499913234,0.07454071543698328
all_valid,gemma4_31b,idea,500,0.15505818909211871,0.10019182839775699
all_valid,gemma4_31b,math,499,0.05145472685402055,0.0650432566332751
all_valid,gemma4_31b,moral,500,0.13380603020130546,0.06824819321148505
all_valid,gemma4_31b,planning,500,0.08166038477203355,0.08266109026936692
all_valid,gemma4_31b,safety,313,0.06007607156769045,0.017566681693690016
all_valid,gemma4_31b,security,496,0.08579436226462098,0.061665896892897906
all_valid,gemma4_e4b,code,175,0.03566112400429543,0.0437571880747005
all_valid,gemma4_e4b,gpqa,500,0.06632102486015577,0.08087146312094487
all_valid,gemma4_e4b,idea,500,0.12172740401335655,0.09594241307170878
all_valid,gemma4_e4b,math,485,0.050720897447742996,0.09822247510339208
all_valid,gemma4_e4b,moral,500,0.06406886198491496,0.12328921668222495
all_valid,gemma4_e4b,planning,500,0.05630070444067278,0.08120640589033752
all_valid,gemma4_e4b,safety,57,0.059856916706517944,0.1046763185356558
all_valid,gemma4_e4b,security,500,0.06355076947429669,0.06705482572633738
all_valid,qwen35_27b,code,159,0.06118587784991895,0.05028748400272955
all_valid,qwen35_27b,gpqa,490,0.09196578811148241,0.0678304874397831
all_valid,qwen35_27b,idea,498,0.12013824876669903,0.08560047099636592
all_valid,qwen35_27b,math,439,0.07293293055188596,0.08910133224344793
all_valid,qwen35_27b,moral,497,0.10370371924625792,0.06420936198291838
all_valid,qwen35_27b,planning,499,0.07333559255631128,0.07088700562126773
all_valid,qwen35_27b,safety,313,0.08040141610995222,0.0726395985756522
all_valid,qwen35_27b,security,460,0.07586811862154617,0.05990516192766806
all_valid,qwen35_4b,code,94,0.0583327649107136,0.05705264581795453
all_valid,qwen35_4b,gpqa,339,0.1006603066573386,0.0674129564090142
all_valid,qwen35_4b,idea,161,0.1373206922025643,0.09216907115254118
all_valid,qwen35_4b,math,409,0.07812304666849304,0.086909294573406
all_valid,qwen35_4b,moral,420,0.105165696349701,0.06588568719933527
all_valid,qwen35_4b,planning,448,0.08558185494082646,0.0678504003231805
all_valid,qwen35_4b,safety,291,0.07935738519843522,0.07240863863335686
all_valid,qwen35_4b,security,185,0.0919586676387279,0.05899376580407827
all_valid,qwen35_9b,code,131,0.06106881095474216,0.05694465713392379
all_valid,qwen35_9b,gpqa,422,0.09870559397914448,0.06693251849015326
all_valid,qwen35_9b,idea,344,0.12310004586067858,0.0835798614223058
all_valid,qwen35_9b,math,439,0.07689968831263103,0.08774998358917085
all_valid,qwen35_9b,moral,485,0.1019959082001836,0.063020709230415
all_valid,qwen35_9b,planning,493,0.08146921640383123,0.07136851823657392
all_valid,qwen35_9b,safety,308,0.07906154046831088,0.07307911954866005
all_valid,qwen35_9b,security,303,0.08715995797511955,0.059072985053133596
all_valid,reasoner,code,154,0.09251036615436692,0.07586800546984948
all_valid,reasoner,gpqa,484,0.10769515609400855,0.0690044653681021
all_valid,reasoner,idea,493,0.13862623360260268,0.06508458030925719
all_valid,reasoner,math,498,0.05651718345216042,0.07947113486836889
all_valid,reasoner,moral,500,0.12940799494402325,0.034496003842677606
all_valid,reasoner,planning,458,0.08305618468503174,0.06980781344587356
all_valid,reasoner,safety,312,0.12841334140795457,0.04287751382285885
all_valid,reasoner,security,398,0.08808671892885384,0.0399995042932236
completed,gemma4_31b,code,175,0.056706609506192204,0.06211708543989958
completed,gemma4_31b,gpqa,500,0.09369574499913234,0.07454071543698328
completed,gemma4_31b,idea,500,0.15505818909211871,0.10019182839775699
completed,gemma4_31b,math,499,0.05145472685402055,0.0650432566332751
completed,gemma4_31b,moral,500,0.13380603020130546,0.06824819321148505
completed,gemma4_31b,planning,500,0.08166038477203355,0.08266109026936692
completed,gemma4_31b,safety,313,0.06007607156769045,0.017566681693690016
completed,gemma4_31b,security,496,0.08579436226462098,0.061665896892897906
completed,gemma4_e4b,code,175,0.03566112400429543,0.0437571880747005
completed,gemma4_e4b,gpqa,500,0.06632102486015577,0.08087146312094487
completed,gemma4_e4b,idea,500,0.12172740401335655,0.09594241307170878
completed,gemma4_e4b,math,485,0.050720897447742996,0.09822247510339208
completed,gemma4_e4b,moral,500,0.06406886198491496,0.12328921668222495
completed,gemma4_e4b,planning,500,0.05630070444067278,0.08120640589033752
completed,gemma4_e4b,safety,57,0.059856916706517944,0.1046763185356558
completed,gemma4_e4b,security,500,0.06355076947429669,0.06705482572633738
completed,qwen35_27b,code,158,0.06112819894201246,0.0502419704047808
completed,qwen35_27b,gpqa,489,0.0919691895368572,0.06784730123633631
completed,qwen35_27b,idea,498,0.12013824876669903,0.08560047099636592
completed,qwen35_27b,math,439,0.07293293055188596,0.08910133224344793
completed,qwen35_27b,moral,497,0.10370371924625792,0.06420936198291838
completed,qwen35_27b,planning,499,0.07333559255631128,0.07088700562126773
completed,qwen35_27b,safety,313,0.08040141610995222,0.0726395985756522
completed,qwen35_27b,security,459,0.075742554237787,0.05995291081514451
completed,qwen35_4b,code,92,0.058745925166258386,0.05770534538917718
completed,qwen35_4b,gpqa,334,0.10041975460250134,0.06747126504563149
completed,qwen35_4b,idea,161,0.1373206922025643,0.09216907115254118
completed,qwen35_4b,math,408,0.07812659990377531,0.08695274671897608
completed,qwen35_4b,moral,420,0.105165696349701,0.06588568719933527
completed,qwen35_4b,planning,443,0.0857475983054032,0.06792008026089136
completed,qwen35_4b,safety,291,0.07935738519843522,0.07240863863335686
completed,qwen35_4b,security,184,0.09186123295266635,0.05918262141989553
completed,qwen35_9b,code,129,0.06126469799951728,0.05711884206187308
completed,qwen35_9b,gpqa,418,0.09861971889665795,0.06689791428566212
completed,qwen35_9b,idea,344,0.12310004586067858,0.0835798614223058
completed,qwen35_9b,math,438,0.07685143712643802,0.08779705014654185
completed,qwen35_9b,moral,485,0.1019959082001836,0.063020709230415
completed,qwen35_9b,planning,490,0.08142453957440819,0.07148336457526423
completed,qwen35_9b,safety,308,0.07906154046831088,0.07307911954866005
completed,qwen35_9b,security,303,0.08715995797511955,0.059072985053133596
completed,reasoner,code,153,0.09235351437247669,0.0759560233891095
completed,reasoner,gpqa,484,0.10769515609400855,0.0690044653681021
completed,reasoner,idea,493,0.13862623360260268,0.06508458030925719
completed,reasoner,math,498,0.05651718345216042,0.07947113486836889
completed,reasoner,moral,500,0.12940799494402325,0.034496003842677606
completed,reasoner,planning,442,0.08234700849791679,0.06983750678762177
completed,reasoner,safety,312,0.12841334140795457,0.04287751382285885
completed,reasoner,security,397,0.08810470673789567,0.039921626708460625
fixed_4096,gemma4_31b,code,60,0.044502028680700065,0.07376056139820779
fixed_4096,gemma4_31b,gpqa,214,0.07946628531643538,0.06718354845259099
fixed_4096,gemma4_31b,idea,500,0.15505818909211871,0.10019182839775699
fixed_4096,gemma4_31b,math,450,0.04847746038661029,0.06457499694650372
fixed_4096,gemma4_31b,moral,500,0.13380603020130546,0.06824819321148505
fixed_4096,gemma4_31b,planning,303,0.08196654011477833,0.08321017773289606
fixed_4096,gemma4_31b,safety,313,0.06007607156769045,0.017566681693690016
fixed_4096,gemma4_31b,security,267,0.08427347509969481,0.053180509792212755
fixed_4096,gemma4_e4b,code,57,0.03014505823037106,0.05042472613877415
fixed_4096,gemma4_e4b,gpqa,415,0.06342906551792019,0.0789481992422347
fixed_4096,gemma4_e4b,idea,500,0.12172740401335655,0.09594241307170878
fixed_4096,gemma4_e4b,math,433,0.05053235368428133,0.10253903894130244
fixed_4096,gemma4_e4b,moral,500,0.06406886198491496,0.12328921668222495
fixed_4096,gemma4_e4b,planning,465,0.05706403639360402,0.08148158161539115
fixed_4096,gemma4_e4b,safety,57,0.059856916706517944,0.1046763185356558
fixed_4096,gemma4_e4b,security,331,0.06721031391544337,0.06815901687387435
fixed_4096,qwen35_27b,code,20,0.05697998540724123,0.06275037848750853
fixed_4096,qwen35_27b,gpqa,30,0.0714708055780556,0.07589574960224164
fixed_4096,qwen35_27b,idea,140,0.12153032778638508,0.08820463212823275
