gen_model,task_type,behavior,n,presence,mean_rate,mean_count
gemma4_31b,code,backward_chaining,175,0.13142857142857142,0.002595034878028533,0.7142857142857143
gemma4_31b,gpqa,backward_chaining,500,0.282,0.00712716108178021,1.812
gemma4_31b,idea,backward_chaining,500,0.004,0.00011774600504625736,0.004
gemma4_31b,math,backward_chaining,499,0.06813627254509018,0.0037125930594213556,0.14228456913827656
gemma4_31b,moral,backward_chaining,500,0.004,0.00017320261437908497,0.006
gemma4_31b,planning,backward_chaining,500,0.256,0.014134335132928931,2.842
gemma4_31b,safety,backward_chaining,313,0.0,0.0,0.0
gemma4_31b,security,backward_chaining,496,0.2600806451612903,0.0075829191745097075,1.6028225806451613
gemma4_e4b,code,backward_chaining,175,0.22857142857142856,0.0029588582266401823,1.3371428571428572
gemma4_e4b,gpqa,backward_chaining,500,0.282,0.013537306047772426,1.246
gemma4_e4b,idea,backward_chaining,500,0.002,7.142857142857142e-05,0.002
gemma4_e4b,math,backward_chaining,485,0.10309278350515463,0.0038717371330533037,0.23917525773195877
gemma4_e4b,moral,backward_chaining,500,0.0,0.0,0.0
gemma4_e4b,planning,backward_chaining,500,0.222,0.01169406395814211,0.948
gemma4_e4b,safety,backward_chaining,57,0.0,0.0,0.0
gemma4_e4b,security,backward_chaining,500,0.36,0.017358146805900313,3.964
qwen35_27b,code,backward_chaining,159,0.32075471698113206,0.0014409207206053723,2.2264150943396226
qwen35_27b,gpqa,backward_chaining,490,0.4897959183673469,0.006525585639738758,4.722448979591837
qwen35_27b,idea,backward_chaining,498,0.014056224899598393,0.00012054644299765743,0.028112449799196786
qwen35_27b,math,backward_chaining,439,0.20956719817767655,0.0029424606763293498,1.193621867881549
qwen35_27b,moral,backward_chaining,497,0.018108651911468814,0.00024049606362807436,0.030181086519114688
qwen35_27b,planning,backward_chaining,499,0.4028056112224449,0.008474185443445716,4.567134268537074
qwen35_27b,safety,backward_chaining,313,0.0,0.0,0.0
qwen35_27b,security,backward_chaining,460,0.35,0.011667370349898969,10.806521739130435
qwen35_4b,code,backward_chaining,94,0.20212765957446807,0.0025111150141029536,1.5638297872340425
qwen35_4b,gpqa,backward_chaining,339,0.5663716814159292,0.005724590024635973,5.991150442477876
qwen35_4b,idea,backward_chaining,161,0.024844720496894408,0.00026188583277598836,0.06832298136645963
qwen35_4b,math,backward_chaining,409,0.2396088019559902,0.002176512196699441,1.2885085574572128
qwen35_4b,moral,backward_chaining,420,0.009523809523809525,7.890474657593072e-05,0.009523809523809525
qwen35_4b,planning,backward_chaining,448,0.453125,0.007153251750969135,5.680803571428571
qwen35_4b,safety,backward_chaining,291,0.0,0.0,0.0
qwen35_4b,security,backward_chaining,185,0.13513513513513514,0.001866109663997892,0.9567567567567568
qwen35_9b,code,backward_chaining,131,0.22137404580152673,0.001743176698202234,1.8625954198473282
qwen35_9b,gpqa,backward_chaining,422,0.580568720379147,0.006706556446939023,7.966824644549763
qwen35_9b,idea,backward_chaining,344,0.01744186046511628,8.669585293749431e-05,0.029069767441860465
qwen35_9b,math,backward_chaining,439,0.22323462414578588,0.002550541279423052,1.2892938496583144
qwen35_9b,moral,backward_chaining,485,0.012371134020618556,9.744622485756817e-05,0.018556701030927835
qwen35_9b,planning,backward_chaining,493,0.4381338742393509,0.008003807265252866,5.598377281947261
qwen35_9b,safety,backward_chaining,308,0.0,0.0,0.0
qwen35_9b,security,backward_chaining,303,0.23102310231023102,0.004851481044806349,3.376237623762376
reasoner,code,backward_chaining,154,0.19480519480519481,0.002424949710704799,1.5714285714285714
reasoner,gpqa,backward_chaining,484,0.3202479338842975,0.00595902257223232,1.9504132231404958
reasoner,idea,backward_chaining,493,0.0486815415821501,0.0011247820294946153,0.06288032454361055
reasoner,math,backward_chaining,498,0.1144578313253012,0.0029120072509942214,0.3273092369477912
reasoner,moral,backward_chaining,500,0.004,8.514412416851442e-05,0.004
reasoner,planning,backward_chaining,458,0.32532751091703055,0.007258269419068588,1.7467248908296944
reasoner,safety,backward_chaining,312,0.04807692307692308,0.001411252474681367,0.07371794871794872
reasoner,security,backward_chaining,398,0.1658291457286432,0.0061689800499827845,1.6281407035175879
