task_type,family,model_a,model_b,js_distance,correlation_distance,ci_low,ci_high,bootstrap_reps
math,dialectical,reasoner,gemma4_e4b,0.060995074147039585,0.12698995073470654,0.06264013291500194,0.10444252616623363,200
math,executive,reasoner,gemma4_e4b,0.11834910284204851,0.3103052339087672,0.09871569480462512,0.14954573757474818,200
math,dialectical,reasoner,gemma4_31b,0.14400614055910488,0.1532276652674064,0.12369544424530723,0.18234943393297273,200
math,executive,reasoner,gemma4_31b,0.2836944823873655,1.0206564580848763,0.2630130259389693,0.31571663232174835,200
math,dialectical,reasoner,qwen35_4b,0.06408020528102662,0.1919854461823498,0.06133120680150946,0.08889536480017884,200
math,executive,reasoner,qwen35_4b,0.16777389716825367,1.0825540392899853,0.14340009470824902,0.19308448161616049,200
math,dialectical,reasoner,qwen35_9b,0.06238434566402511,0.20248579190149607,0.05790264491387045,0.08872764136838882,200
math,executive,reasoner,qwen35_9b,0.16249958827339953,0.8081786583557868,0.13666333336718958,0.1907877869661537,200
math,dialectical,reasoner,qwen35_27b,0.05332927219840155,0.12460418920841543,0.048692910449814164,0.084206405332735,200
math,executive,reasoner,qwen35_27b,0.1665364588590219,1.0167565284451796,0.14328342165631391,0.1951572546856118,200
math,dialectical,gemma4_e4b,gemma4_31b,0.12260105476700969,0.10825440150954513,0.11075067787299475,0.1572531280658664,200
math,executive,gemma4_e4b,gemma4_31b,0.19597029561963722,0.35151423795190906,0.17710220012322417,0.2237199963391937,200
math,dialectical,gemma4_e4b,qwen35_4b,0.10521682156472317,0.4105511421639422,0.09550311999845708,0.13104868532998715,200
math,executive,gemma4_e4b,qwen35_4b,0.10017627909096395,0.8434999654650088,0.09090001142825226,0.11502721478470126,200
math,dialectical,gemma4_e4b,qwen35_9b,0.10380233045218773,0.415914412501009,0.09241293013407813,0.13363219115938776,200
math,executive,gemma4_e4b,qwen35_9b,0.09517633183005705,0.6204158755916349,0.08684956346437948,0.11143173720597933,200
math,dialectical,gemma4_e4b,qwen35_27b,0.09801042290673004,0.35353126315063244,0.08816822382742187,0.12426672639048175,200
math,executive,gemma4_e4b,qwen35_27b,0.0975503104363715,0.7163348867100203,0.08979531489830435,0.11272255446415384,200
math,dialectical,gemma4_31b,qwen35_4b,0.1904933059430272,0.3814938325017525,0.17032684412842658,0.2200462314242678,200
math,executive,gemma4_31b,qwen35_4b,0.2321118961286846,0.6107922043534373,0.2100372621421134,0.2597351966524175,200
math,dialectical,gemma4_31b,qwen35_9b,0.18824526262918415,0.3897196117524714,0.17030567770181224,0.21935099631530272,200
math,executive,gemma4_31b,qwen35_9b,0.2339910796220161,0.6758782451294694,0.2125605962787792,0.2593679293663004,200
math,dialectical,gemma4_31b,qwen35_27b,0.18358627730198177,0.346807305209324,0.1673494275431682,0.2113814426911819,200
math,executive,gemma4_31b,qwen35_27b,0.23012236955690463,0.5242583772516736,0.21460786960546377,0.25522671418520304,200
math,dialectical,qwen35_4b,qwen35_9b,0.02039689102290189,0.07545092061111669,0.022201778319082845,0.04026173896899569,200
math,executive,qwen35_4b,qwen35_9b,0.018278284097838184,0.3427188069066166,0.018436038162076337,0.032157811568144415,200
