level_0,level_1,correlation
Question_and_Answering__rate,Question_and_Answering__rate,1.0
Question_and_Answering__rate,Perspective_Shift__rate,0.06871811162348926
Question_and_Answering__rate,Conflict_of_Perspectives__rate,0.01308983894753295
Question_and_Answering__rate,Reconciliation__rate,0.05188854402293513
Question_and_Answering__rate,verification__rate,0.30356290712901024
Question_and_Answering__rate,backtracking__rate,0.018213553708429156
Question_and_Answering__rate,subgoal__rate,-0.04144567115709131
Question_and_Answering__rate,backward_chaining__rate,-0.02905134101649529
Question_and_Answering__rate,D_to_D__rate,0.5227337571396293
Question_and_Answering__rate,D_to_E__rate,0.4211718370736462
Question_and_Answering__rate,E_to_D__rate,0.4058018196820697
Question_and_Answering__rate,E_to_E__rate,0.19450112979932438
Question_and_Answering__rate,perspective_to_reconciliation__rate,-0.01751223589705496
Question_and_Answering__rate,question_to_subgoal__rate,0.3833893413396383
Question_and_Answering__rate,perspective_to_verification__rate,0.09655506837047227
Question_and_Answering__rate,conflict_to_verification__rate,-0.01302886546225444
Question_and_Answering__rate,conflict_to_reconciliation__rate,-0.014464337517874272
Question_and_Answering__rate,verification_to_backtracking__rate,-0.0055814132310737065
Question_and_Answering__rate,backtracking_to_subgoal__rate,-0.004469628283435313
Question_and_Answering__rate,reconciliation_to_verification__rate,0.1086921752717357
Question_and_Answering__rate,conflict_verification_backtracking__rate,-0.03341899521562133
Question_and_Answering__rate,verification_backtracking_subgoal__rate,-0.02435339049075596
Question_and_Answering__rate,perspective_conflict_reconciliation__rate,0.012864751260327663
Question_and_Answering__rate,conflict_reconciliation_verification__rate,0.024842164291256363
Question_and_Answering__rate,motif__question_to_subgoal__rate,0.3833893413396383
Question_and_Answering__rate,motif__perspective_to_verification__rate,0.09655506837047227
Question_and_Answering__rate,motif__conflict_to_verification__rate,-0.01302886546225444
Question_and_Answering__rate,motif__conflict_to_reconciliation__rate,-0.014464337517874272
Question_and_Answering__rate,motif__verification_to_backtracking__rate,-0.0055814132310737065
Question_and_Answering__rate,motif__backtracking_to_subgoal__rate,-0.004469628283435313
Question_and_Answering__rate,motif__reconciliation_to_verification__rate,0.1086921752717357
Question_and_Answering__rate,motif__conflict_verification_backtracking__rate,-0.03341899521562133
Question_and_Answering__rate,motif__verification_backtracking_subgoal__rate,-0.02435339049075596
Question_and_Answering__rate,motif__perspective_conflict_reconciliation__rate,0.012864751260327663
Question_and_Answering__rate,motif__conflict_reconciliation_verification__rate,0.024842164291256363
Perspective_Shift__rate,Question_and_Answering__rate,0.06871811162348926
Perspective_Shift__rate,Perspective_Shift__rate,1.0
Perspective_Shift__rate,Conflict_of_Perspectives__rate,0.41620462383770557
Perspective_Shift__rate,Reconciliation__rate,0.253570714181441
Perspective_Shift__rate,verification__rate,-0.13383172691809656
Perspective_Shift__rate,backtracking__rate,0.36997924143815164
Perspective_Shift__rate,subgoal__rate,0.14820452941787407
Perspective_Shift__rate,backward_chaining__rate,-0.05564806807359979
Perspective_Shift__rate,D_to_D__rate,0.6351278504416866
Perspective_Shift__rate,D_to_E__rate,0.4522703598806333
Perspective_Shift__rate,E_to_D__rate,0.4202823943627903
Perspective_Shift__rate,E_to_E__rate,0.00969856707372129
Perspective_Shift__rate,perspective_to_reconciliation__rate,0.2544812760619939
Perspective_Shift__rate,question_to_subgoal__rate,0.17147080924690417
Perspective_Shift__rate,perspective_to_verification__rate,0.3381627551923503
Perspective_Shift__rate,conflict_to_verification__rate,-0.002754144615772373
Perspective_Shift__rate,conflict_to_reconciliation__rate,0.13185513008921698
Perspective_Shift__rate,verification_to_backtracking__rate,0.18981618445766127
Perspective_Shift__rate,backtracking_to_subgoal__rate,0.1932316196812948
Perspective_Shift__rate,reconciliation_to_verification__rate,-0.059944409397367074
Perspective_Shift__rate,conflict_verification_backtracking__rate,0.0652937084966085
Perspective_Shift__rate,verification_backtracking_subgoal__rate,0.0707109811048642
Perspective_Shift__rate,perspective_conflict_reconciliation__rate,0.18658036642335155
Perspective_Shift__rate,conflict_reconciliation_verification__rate,0.0003250659660394683
Perspective_Shift__rate,motif__question_to_subgoal__rate,0.17147080924690417
Perspective_Shift__rate,motif__perspective_to_verification__rate,0.3381627551923503
Perspective_Shift__rate,motif__conflict_to_verification__rate,-0.002754144615772373
Perspective_Shift__rate,motif__conflict_to_reconciliation__rate,0.13185513008921698
Perspective_Shift__rate,motif__verification_to_backtracking__rate,0.18981618445766127
