domain,feature,estimate,se,p_value,n,q_value
math,dialectical_density,0.009930667190661697,0.03696043168702677,0.788173061819889,3238,0.822441455812058
math,executive_density,-0.023620909542668506,0.038459737753305044,0.5391014078643774,3238,0.6161158947021457
math,coupling_excess,0.062183335388425416,0.039048213209979775,0.11127783173295841,3238,0.14837044231061122
code,dialectical_density,0.1399351565743029,0.05173643402535256,0.006835168947554694,1042,0.011717432481522334
code,executive_density,0.617236310971084,0.07677939874802099,9.05098746120749e-16,1042,3.620394984482996e-15
code,coupling_excess,-0.10679628368579495,0.061138482563846165,0.08067322199857323,1042,0.11389160752739749
gpqa,dialectical_density,-0.01598383061318481,0.042650965785898345,0.707839755534569,2989,0.7721888242195298
gpqa,executive_density,0.1450038520141579,0.05177702517069299,0.005101650676764561,2989,0.009418432018642267
gpqa,coupling_excess,0.036011732056627575,0.04331065638630355,0.4057052928624839,2989,0.48684635143498073
planning,dialectical_density,0.19378551782945713,0.05761494204796186,0.0007697215998153773,3225,0.0016793925814153688
planning,executive_density,0.00531635607128343,0.05652370610563859,0.9250652011273568,3225,0.9250652011273569
planning,coupling_excess,0.21789878053890424,0.04896678266749625,8.589807527045839e-06,3225,2.0615538064910015e-05
moral,dialectical_density,-0.0226557414461759,0.0029431564696850336,1.3846135144830906e-14,3401,4.7472463353705966e-14
moral,executive_density,0.04629304264932932,0.0022280607936185546,6.948565041768757e-96,3401,4.169139025061254e-95
moral,coupling_excess,0.015366723059165064,0.003179297627963024,1.3424068046483103e-06,3401,3.5797514790621607e-06
idea,dialectical_density,0.04109242978667561,0.0019130912755708806,2.4159276296413253e-102,2996,1.9327421037130602e-101
idea,executive_density,0.0637286381484982,0.0017134691317995865,8.936397009619405e-303,2996,1.0723676411543287e-301
idea,coupling_excess,0.07059377057456587,0.0018778082032996238,2.72392230820576e-309,2996,6.537413539693819e-308
safety,dialectical_density,-0.05677136559663264,0.004569267904342392,1.9216446072028044e-35,1906,9.223894114573461e-35
safety,executive_density,0.005998241621350637,0.0030740789773514073,0.0510294404231823,1906,0.08164710467709167
safety,coupling_excess,0.004189804502873214,0.0032085743321864633,0.19161547657603528,1906,0.2420406019907814
security,dialectical_density,-0.09311193274718745,0.050060135699206074,0.06288529888476774,2598,0.0943279483271516
security,executive_density,0.2626710716982758,0.05107412893917291,2.704750964790638e-07,2598,8.114252894371914e-07
security,coupling_excess,0.13037807141325874,0.04332888083672382,0.0026207986856318904,2598,0.005241597371263781
