domain,held_out_model_family,n,primary_metric,primary_value,auroc,auprc,brier,log_loss,r2,spearman,mae,rmse
math,deepseek_distill,498,auroc,0.63720477841235,0.63720477841235,0.8633930490533817,0.15708469132263592,0.4917248144657839,,,,
math,gemma4,985,auroc,0.5425601280971954,0.5425601280971954,0.5434892833423929,0.25295387108975437,0.7000227172470366,,,,
math,llama_anchor,472,auroc,0.5299183788347875,0.5299183788347875,0.4314641295683092,0.23678896422095222,0.6636804427140671,,,,
math,qwen35,1285,auroc,0.5710368076247511,0.5710368076247511,0.5961916292915572,0.24659825699389618,0.6868142177238868,,,,
code,deepseek_distill,150,auroc,0.8231132075471698,0.8231132075471698,0.63033866921331,0.1476082927495284,0.49026775760711816,,,,
code,gemma4,346,auroc,0.8752927400468384,0.8752927400468384,0.9317296003960683,0.1385132338217778,0.4164508308708584,,,,
code,llama_anchor,171,auroc,0.8140432098765432,0.8140432098765432,0.44116530139237,0.11496246006467861,0.3735389104111968,,,,
code,qwen35,375,auroc,0.8473608193277311,0.8473608193277311,0.9127191534440566,0.1410837726632835,0.4605760058960532,,,,
gpqa,deepseek_distill,438,auroc,0.6489341712424578,0.6489341712424578,0.5965260608131737,0.23559145047117436,0.6652898011518399,,,,
gpqa,gemma4,970,auroc,0.7244474581414867,0.7244474581414867,0.8332943104580768,0.1963412543356493,0.5747268781922089,,,,
gpqa,llama_anchor,369,auroc,0.5358688524590164,0.5358688524590164,0.397800128330867,0.23624694240669789,0.6796610986983035,,,,
gpqa,qwen35,1212,auroc,0.691664063912679,0.691664063912679,0.8854346892057603,0.153560943096538,0.476886278244856,,,,
planning,deepseek_distill,412,auroc,0.6225536866603195,0.6225536866603195,0.761434642451578,0.2189358889318548,0.6314055222983778,,,,
planning,gemma4,988,auroc,0.8138206621672984,0.8138206621672984,0.9695879538422244,0.08778823504069956,0.29038075437401717,,,,
planning,llama_anchor,408,auroc,0.655456301303718,0.655456301303718,0.6735261599329756,0.24207387196040656,0.6886004497554815,,,,
planning,qwen35,1417,auroc,0.8219762315506997,0.8219762315506997,0.9749253381329187,0.08226755843330955,0.2774703255279201,,,,
moral,deepseek_distill,500,r2,0.05722011025465601,,,,,0.05722011025465601,0.23927328539644463,0.14227573357509687,0.1758121536338309
moral,gemma4,1000,r2,0.003854062163268779,,,,,0.003854062163268779,0.11701753350695931,0.1226472231589188,0.1526286311849048
moral,llama_anchor,499,r2,0.0762707216738776,,,,,0.0762707216738776,0.17690656801267432,0.12859086736012895,0.16171742748480458
moral,qwen35,1402,r2,0.00022506662264121235,,,,,0.00022506662264121235,0.11959532820680115,0.11543378414439695,0.1453441648547588
idea,deepseek_distill,493,r2,-0.012939391002076972,,,,,-0.012939391002076972,-0.010771667086591085,0.08150383914039248,0.10969095947455072
idea,gemma4,1000,r2,0.1481526842670421,,,,,0.1481526842670421,0.381086383423766,0.0505456089279622,0.0641519978306342
idea,llama_anchor,500,r2,0.003038068649352188,,,,,0.003038068649352188,0.06563018654303365,0.07827107012480825,0.1035426933147933
idea,qwen35,1003,r2,0.04051215193271618,,,,,0.04051215193271618,0.19417970662136994,0.04141793581454472,0.05218081210605553
safety,deepseek_distill,312,r2,0.09275104278239454,,,,,0.09275104278239454,0.3909848488512577,0.26719685752234495,0.31646941715808513
safety,gemma4,370,r2,-0.12312747567039573,,,,,-0.12312747567039573,0.17260961467466399,0.0646766466628272,0.12286525578411187
safety,llama_anchor,312,r2,0.4701888155183459,,,,,0.4701888155183459,0.31794187724208234,0.04607375683609568,0.09744050116846666
safety,qwen35,912,r2,,,,,,,,0.03178061104081424,0.04108528081226327
security,deepseek_distill,335,auroc,0.6271085236602478,0.6271085236602478,0.5138768034426112,0.2307379256488022,0.6570009188841162,,,,
security,gemma4,965,auroc,0.7214674955867679,0.7214674955867679,0.8654179772621461,0.17230128804756,0.5208990171722284,,,,
security,llama_anchor,360,auroc,0.5876651438449191,0.5876651438449191,0.5915321144161703,0.25178458649734103,0.7012551446734174,,,,
security,qwen35,938,auroc,0.7002310358105507,0.7002310358105507,0.8837313600116355,0.15180906084849446,0.47409768597859675,,,,
