domain,model,outcome_type,n,primary_metric,primary_value,auroc,auprc,brier,log_loss,r2,spearman,mae,rmse
math,M0,binary,3240,auroc,0.6238949811703248,0.6238949811703248,0.659903203265156,0.2336546351308446,0.6591514565516577,,,,
math,M1-D,binary,3240,auroc,0.6316991525489101,0.6316991525489101,0.6940891461751291,0.23261220726085235,0.6557880716662593,,,,
math,M1-E,binary,3240,auroc,0.634256509390153,0.634256509390153,0.6928952163333401,0.2321356926030935,0.6553749995932785,,,,
math,M2,binary,3240,auroc,0.6318393530182249,0.6318393530182249,0.6947540927549982,0.23242608344021953,0.6556707023355819,,,,
math,M3,binary,3240,auroc,0.6325027500119565,0.6325027500119565,0.6948528163094349,0.23266384969926904,0.6559108545298187,,,,
math,M4,binary,3240,auroc,0.630564627980851,0.630564627980851,0.6933435114966834,0.23334286748503913,0.6574736953174461,,,,
math,M5,binary,3240,auroc,0.6307316343170637,0.6307316343170637,0.6917737617614836,0.23413417994711155,0.6605831217861236,,,,
code,M0,binary,1042,auroc,0.8640797513131097,0.8640797513131097,0.8638681098705079,0.15013685785018757,0.46358478721507007,,,,
code,M1-D,binary,1042,auroc,0.8627749583242466,0.8627749583242466,0.8745395590381572,0.15009578814908278,0.4730944798552857,,,,
code,M1-E,binary,1042,auroc,0.8927112711197194,0.8927112711197194,0.9051929971481516,0.13117397252899615,0.41380954923865193,,,,
code,M2,binary,1042,auroc,0.8885159735492957,0.8885159735492957,0.9036912295259447,0.1342614532993323,0.4249786351020032,,,,
code,M3,binary,1042,auroc,0.8848455502123523,0.8848455502123523,0.8945319760489606,0.13589167527647225,0.4335248661960143,,,,
code,M4,binary,1042,auroc,0.8841913055692113,0.8841913055692113,0.8931656054518339,0.13688274302740477,0.43591488197093986,,,,
code,M5,binary,1042,auroc,0.8784324741906032,0.8784324741906032,0.8920632559983478,0.14038442307582594,0.45626294900055236,,,,
gpqa,M0,binary,2989,auroc,0.7339187738110998,0.7339187738110998,0.8231772798105567,0.19407749390923879,0.5709277408761275,,,,
gpqa,M1-D,binary,2989,auroc,0.7392637375030032,0.7392637375030032,0.8261341660386325,0.19309637018738038,0.5688201846247026,,,,
gpqa,M1-E,binary,2989,auroc,0.7443507935807482,0.7443507935807482,0.8333462887729265,0.19179530690707985,0.5648485545879687,,,,
gpqa,M2,binary,2989,auroc,0.7472382801582749,0.7472382801582749,0.8349845697481577,0.1912122608557895,0.563610471101675,,,,
