domain,held_out_model_family,n,primary_metric,primary_value,auroc,auprc,brier,log_loss,r2,spearman,mae,rmse
math,deepseek_distill,498,auroc,0.63720477841235,0.63720477841235,0.8633930490533817,0.1570846913226359,0.4917248144657839,,,,
math,gemma4,985,auroc,0.5425601280971954,0.5425601280971954,0.5434892833423929,0.2529538710897543,0.7000227172470366,,,,
math,llama_anchor,472,auroc,0.5299183788347875,0.5299183788347875,0.4314641295683092,0.2367889642209522,0.6636804427140671,,,,
math,qwen35,1285,auroc,0.5710368076247511,0.5710368076247511,0.5961916292915572,0.2465982569938961,0.6868142177238868,,,,
code,deepseek_distill,150,auroc,0.8231132075471698,0.8231132075471698,0.63033866921331,0.1476082927495284,0.4902677576071181,,,,
code,gemma4,346,auroc,0.8752927400468384,0.8752927400468384,0.9317296003960684,0.1385132338217778,0.4164508308708584,,,,
code,llama_anchor,171,auroc,0.8140432098765432,0.8140432098765432,0.44116530139237,0.1149624600646786,0.3735389104111968,,,,
code,qwen35,375,auroc,0.8473608193277311,0.8473608193277311,0.9127191534440566,0.1410837726632835,0.4605760058960532,,,,
gpqa,deepseek_distill,438,auroc,0.6489341712424578,0.6489341712424578,0.5965260608131737,0.2355914504711743,0.6652898011518399,,,,
gpqa,gemma4,970,auroc,0.7244474581414867,0.7244474581414867,0.8332943104580768,0.1963412543356493,0.5747268781922089,,,,
gpqa,llama_anchor,369,auroc,0.5358688524590164,0.5358688524590164,0.397800128330867,0.2362469424066978,0.6796610986983035,,,,
gpqa,qwen35,1212,auroc,0.691664063912679,0.691664063912679,0.8854346892057603,0.153560943096538,0.476886278244856,,,,
planning,deepseek_distill,412,auroc,0.6225536866603195,0.6225536866603195,0.761434642451578,0.2189358889318548,0.6314055222983778,,,,
planning,gemma4,988,auroc,0.8138206621672984,0.8138206621672984,0.9695879538422244,0.0877882350406995,0.2903807543740171,,,,
planning,llama_anchor,408,auroc,0.655456301303718,0.655456301303718,0.6735261599329756,0.2420738719604065,0.6886004497554815,,,,
planning,qwen35,1417,auroc,0.8219762315506997,0.8219762315506997,0.9749253381329188,0.0822675584333095,0.2774703255279201,,,,
moral,deepseek_distill,500,r2,0.057220110254656,,,,,0.057220110254656,0.2392732853964446,0.1422757335750968,0.1758121536338309
moral,gemma4,1000,r2,0.0038540621632687,,,,,0.0038540621632687,0.1170175335069593,0.1226472231589188,0.1526286311849048
moral,llama_anchor,499,r2,0.0762707216738776,,,,,0.0762707216738776,0.1769065680126743,0.1285908673601289,0.1617174274848045
moral,qwen35,1402,r2,0.0002250666226412,,,,,0.0002250666226412,0.1195953282068011,0.1154337841443969,0.1453441648547588
idea,deepseek_distill,493,r2,-0.0129393910020769,,,,,-0.0129393910020769,-0.010771667086591,0.0815038391403924,0.1096909594745507
idea,gemma4,1000,r2,0.1481526842670421,,,,,0.1481526842670421,0.381086383423766,0.0505456089279622,0.0641519978306342
idea,llama_anchor,500,r2,0.0030380686493521,,,,,0.0030380686493521,0.0656301865430336,0.0782710701248082,0.1035426933147933
idea,qwen35,1003,r2,0.0405121519327161,,,,,0.0405121519327161,0.1941797066213699,0.0414179358145447,0.0521808121060555
safety,deepseek_distill,312,r2,0.0927510427823945,,,,,0.0927510427823945,0.3909848488512577,0.2671968575223449,0.3164694171580851
safety,gemma4,370,r2,-0.1231274756703957,,,,,-0.1231274756703957,0.1726096146746639,0.0646766466628272,0.1228652557841118
safety,llama_anchor,312,r2,0.4701888155183459,,,,,0.4701888155183459,0.3179418772420823,0.0460737568360956,0.0974405011684666
safety,qwen35,912,r2,,,,,,,,0.0317806110408142,0.0410852808122632
security,deepseek_distill,335,auroc,0.6271085236602478,0.6271085236602478,0.5138768034426112,0.2307379256488022,0.6570009188841162,,,,
security,gemma4,965,auroc,0.7214674955867679,0.7214674955867679,0.8654179772621461,0.17230128804756,0.5208990171722284,,,,
security,llama_anchor,360,auroc,0.5876651438449191,0.5876651438449191,0.5915321144161703,0.251784586497341,0.7012551446734174,,,,
security,qwen35,938,auroc,0.7002310358105507,0.7002310358105507,0.8837313600116355,0.1518090608484944,0.4740976859785967,,,,
