gen_model,family,profile,between_domain_distance,within_domain_prompt_variability,adaptive_differentiation,ci_low,ci_high,within_reps_per_domain
reasoner,dialectical,amount,0.1017277201108008,0.010192733972627386,9.980415498333507,8.192215284855788,11.849471083995475,1000
reasoner,dialectical,three_phase_shape,0.1993707824044584,0.02593305137019596,7.687902960528161,6.503877131573766,8.843212304861847,1000
reasoner,sot_core,amount,0.09161072618592,0.008782159558178366,10.431457727343126,8.631404738409152,12.306247758451892,1000
reasoner,sot_core,three_phase_shape,0.179434818956766,0.02291822290339383,7.829351329425918,6.736937239259126,8.935225397029198,1000
reasoner,executive,amount,0.11309051376418562,0.009490128322749918,11.916647480211925,10.105733333800242,13.749600549422075,1000
reasoner,executive,three_phase_shape,0.21124130733514979,0.023887654668802966,8.843116256659085,7.682692505385333,10.166785597382734,1000
gemma4_e4b,dialectical,amount,0.08845457162946425,0.012434043035739075,7.113902644153631,5.459063887907658,8.701981093032419,1000
gemma4_e4b,dialectical,three_phase_shape,0.20050339117799873,0.03254695398099922,6.1604348995316665,4.927873836583046,7.504992620236613,1000
gemma4_e4b,sot_core,amount,0.05344443275572397,0.00983895187342473,5.43192338404244,4.289991488550762,6.614172249154853,1000
gemma4_e4b,sot_core,three_phase_shape,0.1480239280737138,0.02606191082706152,5.679703574152836,4.576713887952025,6.762092995643386,1000
gemma4_e4b,executive,amount,0.15164733651058834,0.01371390266490569,11.057927142698677,9.201296922443655,13.087576268915004,1000
gemma4_e4b,executive,three_phase_shape,0.31175254229186916,0.036216624259872494,8.60799560044271,7.346033648746384,9.804239141794339,1000
gemma4_31b,dialectical,amount,0.1362929975541031,0.011106865384012028,12.271058740866028,9.944115121190833,14.738853835672739,1000
gemma4_31b,dialectical,three_phase_shape,0.2842556712794641,0.030456362253569198,9.333211527786842,7.583890255747822,11.187114592683706,1000
gemma4_31b,sot_core,amount,0.11886754718397152,0.00810308260546442,14.669423103722483,11.188245845285259,18.078150295458027,1000
gemma4_31b,sot_core,three_phase_shape,0.2447289136395061,0.023021480041876666,10.630459605305042,8.202060382439965,13.194987292020592,1000
gemma4_31b,executive,amount,0.15444069813579997,0.010620491785107947,14.541765227139171,11.379889992014121,17.72929591979062,1000
gemma4_31b,executive,three_phase_shape,0.30937429884484724,0.030129821149237193,10.26804299011512,8.5125418637276,12.156940210704096,1000
qwen35_4b,dialectical,amount,0.09740069823279505,0.009159305571837056,10.634070178014563,8.054853887113545,13.074685022766545,1000
qwen35_4b,dialectical,three_phase_shape,0.1790426229709508,0.02332086244344917,7.677358562750919,5.909421827757819,9.838094165164284,1000
qwen35_4b,sot_core,amount,0.0830942845303464,0.007060967999290144,11.768115156264702,8.21671786841463,14.974799313040041,1000
qwen35_4b,sot_core,three_phase_shape,0.15423273863605866,0.018272029523977763,8.440919955479728,6.1829721817018575,10.744223463520175,1000
qwen35_4b,executive,amount,0.12494692594466188,0.01022500962925179,12.219736750879207,10.36367916306528,14.391750367150419,1000
qwen35_4b,executive,three_phase_shape,0.22446505042811618,0.02588831107066717,8.670517354932706,7.203204534361066,9.998446862435019,1000
qwen35_9b,dialectical,amount,0.0834118854695877,0.008787680576082365,9.491911403403961,7.712444216706378,11.721976533656889,1000
qwen35_9b,dialectical,three_phase_shape,0.15690078108966432,0.022280904323920117,7.041939537490869,5.79043016045278,8.391199250933727,1000
qwen35_9b,sot_core,amount,0.06994763406282645,0.006513308468006576,10.739186452846475,8.36457631527377,13.657769627942491,1000
qwen35_9b,sot_core,three_phase_shape,0.13342240780414324,0.016776738189819177,7.952821716268393,6.118436315530265,9.886166523554994,1000
qwen35_9b,executive,amount,0.12107946933515194,0.00867810739509914,13.952289804978694,11.91429315870145,16.215008196368817,1000
qwen35_9b,executive,three_phase_shape,0.21744063063195113,0.02264439596462402,9.602403657472054,8.147311488806375,11.143779889413247,1000
qwen35_27b,dialectical,amount,0.08094403935603868,0.006978157509905876,11.599629163018204,9.437648042586133,14.0841270508325,1000
qwen35_27b,dialectical,three_phase_shape,0.15470756648698925,0.01850740117208246,8.359226941076866,6.696031965103835,10.168456674133404,1000
qwen35_27b,sot_core,amount,0.07405027567072732,0.0052288868240749665,14.161766770277616,11.029987935585392,17.585730920198973,1000
qwen35_27b,sot_core,three_phase_shape,0.1407415740325964,0.013910273641814951,10.117814908365316,7.879873121082071,12.33073548611594,1000
qwen35_27b,executive,amount,0.1226837566241364,0.007330488516525338,16.736095602300825,14.125883343883253,19.077919461936794,1000
qwen35_27b,executive,three_phase_shape,0.2238484934892297,0.019230188393209564,11.640473245091743,9.907451645054008,13.283455435891362,1000
