gen_model,task_type,n,successful_prototype_alignment_spearman
gemma4_31b,code,174,0.5161338710245749
gemma4_31b,gpqa,493,0.274362358754163
gemma4_31b,idea,500,0.12732140970918182
gemma4_31b,math,499,
gemma4_31b,moral,500,0.07239057987005944
gemma4_31b,planning,500,0.17378320716176265
gemma4_31b,safety,313,0.18931239639408298
gemma4_31b,security,493,0.22073167221966836
gemma4_e4b,code,172,0.5591517889624146
gemma4_e4b,gpqa,477,0.22001451662269417
gemma4_e4b,idea,500,0.12041176373476754
gemma4_e4b,math,485,0.0890811815649869
gemma4_e4b,moral,500,0.17455681525021655
gemma4_e4b,planning,488,0.24875335754165673
gemma4_e4b,safety,57,0.2244590077541374
gemma4_e4b,security,472,0.2097192581785046
qwen35_27b,code,157,0.48633993595728964
qwen35_27b,gpqa,483,0.34678945487375645
qwen35_27b,idea,498,0.2099239992564464
qwen35_27b,math,439,0.20821769088472616
qwen35_27b,moral,497,0.06353400843208622
qwen35_27b,planning,499,0.254398658931863
qwen35_27b,safety,313,
qwen35_27b,security,455,0.24610367267161232
qwen35_4b,code,92,0.26513853652932134
qwen35_4b,gpqa,316,0.21949661057774408
qwen35_4b,idea,161,0.11651331815454934
qwen35_4b,math,408,0.3045487206853788
qwen35_4b,moral,420,0.13990920584173028
qwen35_4b,planning,429,0.19040988863942393
qwen35_4b,safety,291,
qwen35_4b,security,182,0.42899966156934743
qwen35_9b,code,126,0.604339878519668
qwen35_9b,gpqa,413,0.2838390045725539
qwen35_9b,idea,344,0.2394782815199533
qwen35_9b,math,438,0.25672613967373303
qwen35_9b,moral,485,0.02489628476857002
qwen35_9b,planning,489,0.2143814067793196
qwen35_9b,safety,308,
qwen35_9b,security,301,0.39767800076155
reasoner,code,150,
reasoner,gpqa,438,
reasoner,idea,493,0.12621404279359605
reasoner,math,498,0.25510191209407435
reasoner,moral,500,0.1314344825716191
reasoner,planning,412,0.17879500244771543
reasoner,safety,312,0.26653239220973435
reasoner,security,335,
