coalition_mask,sum,count,coalition_size,cross_family
1,171289,11003,1,False
2,346501,17835,1,False
3,99480,9666,2,False
4,51387,9323,1,False
5,17851,4436,2,False
6,52439,9395,2,False
7,14108,4242,3,False
8,85213,13154,1,False
9,16170,4765,2,False
10,42247,9681,2,False
11,10822,3933,3,False
12,22831,6931,2,False
13,3150,1952,3,False
14,11266,4858,3,False
15,1558,1082,4,False
16,379972,13232,1,False
17,200115,10775,2,True
18,180259,12870,2,True
19,89477,8909,3,True
20,118970,10676,2,True
21,48999,6716,3,True
22,82028,10364,3,True
23,32326,5991,4,True
24,98863,9921,2,True
25,25636,5974,3,True
26,47347,8604,3,True
27,20730,5005,4,True
28,43107,8480,3,True
29,10037,3999,4,True
30,15485,6174,4,True
31,5058,2368,5,True
32,911,669,1,False
33,1797,948,2,True
34,86730,8576,2,True
35,26896,5235,3,True
36,18428,5341,2,True
37,6314,2099,3,True
38,53607,8212,3,True
39,10875,3697,4,True
40,2362,1496,2,True
41,398,294,3,True
42,11292,4388,3,True
43,2474,1482,4,True
44,7734,3685,3,True
45,1024,735,4,True
46,9413,3784,4,True
47,794,616,5,True
48,275,203,2,False
49,1216,674,3,True
50,15905,4866,3,True
51,13118,3801,4,True
52,11231,3500,3,True
53,8468,2552,4,True
54,60495,7116,4,True
55,19040,4386,5,True
56,633,458,3,True
57,516,356,4,True
58,4847,2618,4,True
59,3046,1486,5,True
60,6580,3100,4,True
61,1735,1112,5,True
62,7360,3615,5,True
63,1772,1168,6,True
64,181881,17103,1,False
65,19517,5527,2,True
66,198714,17466,2,True
67,27432,7581,3,True
68,2288,1464,2,True
69,592,445,3,True
70,13209,5209,3,True
71,2010,1294,4,True
72,8082,3996,2,True
73,1113,762,3,True
74,14372,6597,3,True
75,1717,1213,4,True
76,1138,806,3,True
77,118,87,4,True
78,2328,1678,4,True
79,183,155,5,True
80,15521,5211,2,False
81,9143,3324,3,True
82,31224,8067,3,True
83,11473,4381,4,True
84,3265,1972,3,True
85,1524,956,4,True
86,15336,5267,4,True
87,4081,1907,5,True
88,2352,1485,3,True
89,863,579,4,True
90,7323,3447,4,True
91,1508,968,5,True
92,1152,842,4,True
93,219,190,5,True
94,1791,1433,5,True
95,340,283,6,True
96,100,88,2,False
97,95,74,3,True
98,14738,4321,3,True
99,3437,1753,4,True
100,1091,807,3,True
101,275,221,4,True
102,10890,4063,4,True
103,1631,1005,5,True
104,353,294,3,True
105,33,26,4,True
106,1720,1256,4,True
107,209,185,5,True
108,613,493,4,True
109,48,44,5,True
110,1345,1049,5,True
111,90,83,6,True
112,15,13,3,False
113,18,16,4,True
114,1000,729,4,True
115,671,517,5,True
116,181,154,4,True
117,167,142,5,True
118,6512,2461,5,True
119,1439,892,6,True
120,19,18,4,True
121,8,8,5,True
122,255,236,5,True
123,119,107,6,True
124,169,152,5,True
125,33,33,6,True
126,592,492,6,True
127,100,89,7,True
128,24336,2715,1,False
129,4337,1169,2,True
130,7736,1903,2,True
131,2027,760,3,True
132,934,432,2,True
133,261,160,3,True
134,546,313,3,True
135,163,121,4,True
136,2003,832,2,True
137,356,223,3,True
138,713,440,3,True
139,157,122,4,True
140,314,189,3,True
141,37,29,4,True
142,85,71,4,True
143,8,8,5,True
144,4870,1332,2,False
145,2162,813,3,True
146,2222,928,3,True
147,980,475,4,True
148,2454,941,3,True
149,857,415,4,True
150,1827,669,4,True
151,581,286,5,True
152,1074,581,3,True
153,295,209,4,True
154,459,313,4,True
155,152,119,5,True
156,794,448,4,True
157,146,109,5,True
158,191,162,5,True
159,38,31,6,True
160,8,8,2,False
161,41,27,3,True
162,1226,590,3,True
163,536,285,4,True
164,157,100,3,True
165,98,67,4,True
166,375,250,4,True
167,145,97,5,True
168,31,27,3,True
169,11,10,4,True
170,138,108,4,True
171,36,32,5,True
172,54,42,4,True
173,11,10,5,True
174,44,37,5,True
175,6,6,6,True
176,2,2,3,False
177,16,11,4,True
178,213,151,4,True
179,130,97,5,True
180,80,73,4,True
181,64,47,5,True
182,567,331,5,True
183,228,143,6,True
184,2,2,4,True
185,7,6,5,True
186,47,43,5,True
187,23,21,6,True
188,55,47,5,True
189,8,8,6,True
190,41,37,6,True
191,4,4,7,True
192,2254,802,2,False
193,580,285,3,True
194,2668,1039,3,True
195,409,261,4,True
196,22,19,3,True
197,7,6,4,True
198,60,46,4,True
199,10,9,5,True
200,125,86,3,True
201,42,30,4,True
202,131,111,4,True
203,10,10,5,True
204,14,11,4,True
206,8,7,5,True
208,195,130,3,False
209,101,73,4,True
210,279,191,4,True
211,66,58,5,True
212,56,45,4,True
213,35,33,5,True
214,136,106,5,True
215,43,35,6,True
216,25,20,4,True
217,10,10,5,True
218,46,39,5,True
219,9,9,6,True
220,7,7,5,True
221,2,2,6,True
222,12,11,6,True
223,2,2,7,True
224,2,2,3,False
225,1,1,4,True
226,151,123,4,True
227,62,53,5,True
228,4,4,4,True
229,1,1,5,True
230,58,44,5,True
231,11,11,6,True
232,2,2,4,True
234,9,8,5,True
235,2,2,6,True
236,2,2,5,True
237,1,1,6,True
238,1,1,6,True
242,4,3,5,True
243,1,1,6,True
244,1,1,5,True
245,2,2,6,True
246,29,19,6,True
247,8,5,7,True
250,2,2,6,True
252,2,2,6,True
