gen_model,task_type,n,outcome_spearman
anchor,code,23,0.13746531786244656
anchor,gpqa,369,-0.026717917897608762
anchor,idea,480,-0.045901205932897225
anchor,math,436,0.14168578168223595
anchor,moral,496,0.11558760519640288
anchor,planning,408,-0.0030871783311008753
anchor,safety,25,0.5392799667153253
anchor,security,356,0.07091228326954725
gemma4_31b,code,174,0.4685453984323036
gemma4_31b,gpqa,493,0.209717321700306
gemma4_31b,idea,500,-0.010936772865973455
gemma4_31b,math,491,0.03090581363502799
gemma4_31b,moral,500,-0.029085085120000954
gemma4_31b,planning,500,-0.05432700359446077
gemma4_31b,safety,261,0.12890508740499268
gemma4_31b,security,492,0.10420921996604723
gemma4_e4b,code,172,0.5375828310653319
gemma4_e4b,gpqa,477,0.2001533726877797
gemma4_e4b,idea,500,0.03388920693574156
gemma4_e4b,math,484,0.08224010723034489
gemma4_e4b,moral,500,0.14136580144775268
gemma4_e4b,planning,488,-0.0990927132712144
gemma4_e4b,safety,57,-0.01910258471530374
gemma4_e4b,security,472,0.07763247091283956
qwen35_27b,code,157,0.5017792990035528
qwen35_27b,gpqa,483,0.1909670424498896
qwen35_27b,idea,498,-0.0675745284770455
qwen35_27b,math,439,-0.025682119235083983
qwen35_27b,moral,497,0.009393331557715393
qwen35_27b,planning,499,0.022116885551678022
qwen35_27b,safety,313,
qwen35_27b,security,455,0.15957743423407536
qwen35_4b,code,92,0.3152360140197101
qwen35_4b,gpqa,316,0.02433129583530418
qwen35_4b,idea,161,0.08071858640574305
qwen35_4b,math,408,0.024543227952529327
qwen35_4b,moral,420,0.06846747380748656
qwen35_4b,planning,429,-0.09239456502435922
qwen35_4b,safety,291,
qwen35_4b,security,182,-0.1490727661866513
qwen35_9b,code,126,0.5775794410944429
qwen35_9b,gpqa,413,0.03326977628609687
qwen35_9b,idea,344,-0.04821890169937142
qwen35_9b,math,438,-0.029797922452952347
qwen35_9b,moral,485,0.030897883625085592
qwen35_9b,planning,489,-0.030856134382785113
qwen35_9b,safety,307,
qwen35_9b,security,301,0.12154791875802497
reasoner,code,150,0.10280241756224508
reasoner,gpqa,438,-0.15132765708870088
reasoner,idea,493,0.06124803399330566
reasoner,math,491,0.0871725380303039
reasoner,moral,500,0.05979340880880408
reasoner,planning,412,-0.1096984089987555
reasoner,safety,312,-0.03553737295229798
reasoner,security,335,0.06487587742943407
