gen_model,model_label,task_type,domain,outcome_kind,n,outcome_unique,signature_family,status,baseline_columns,primary_metric,baseline_metric,amount_metric,full_metric,amount_gain,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,gain_unit,amount_q_value,timing_q_value,amount_supported,timing_supported
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.48542284958974485,0.6368556251091104,0.6247848966256827,0.027911704414954913,-0.01681420222153745,0.06863932431169288,0.11688311688311688,-0.026003928536778523,-0.05276878555812241,-0.0024546630738101695,0.9820179820179821,bits/trace,0.44720496894409933,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,binary,498,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.48542284958974485,0.5552535102376737,0.544105544055665,-0.008998002709218914,-0.05272543035833307,0.026282683916792202,0.6253746253746254,-0.012837839233256418,-0.02900140436258018,0.0038573991784518354,0.9230769230769231,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.8698542024013722,0.8417667238421955,0.8141080617495712,-0.08757090766331542,-0.1457776962313211,-0.037933861506953645,1.0,-0.09711006011609051,-0.18839009632811715,-0.016411821292036118,0.985014985014985,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,binary,150,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.8698542024013722,0.8426243567753001,0.8078902229845626,-0.050849316108566814,-0.09842096609206041,-0.010442985692849852,0.987012987012987,-0.07481100318740917,-0.15689329466692367,0.012247547959126422,0.964035964035964,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,binary,438,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.6092657160156169,0.6375138317639936,0.6172411633296448,0.01787069770430056,-0.011590481332258502,0.046462260392966706,0.1108891108891109,-0.02175922359237314,-0.04176762467265722,-0.003191810724512254,0.985014985014985,bits/trace,0.4435564435564436,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,binary,438,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.6092657160156169,0.61845209512078,0.6108733323590204,-0.007338905367619279,-0.04721777573095071,0.023103958249923437,0.6483516483516484,-0.004290760399783541,-0.028330151998333757,0.02234310405332401,0.6393606393606394,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,binary,412,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.6980588173066752,0.7013117528826828,0.701443986036179,0.00015338986356597278,-0.0208361322663226,0.022883502128483557,0.5184815184815185,-0.008787427999799008,-0.02949685608166641,0.014153340464480139,0.7612387612387612,bits/trace,0.9311504821708904,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,binary,412,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.6980588173066752,0.6979265841531789,0.6893049825452238,-0.00810567699369008,-0.026507963187136642,0.01172933521467799,0.7932067932067932,-0.02184783885394923,-0.04770602737544448,0.00380059292401821,0.957042957042957,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,continuous,500,393,conversational,estimated,log_tokens|log_segments,R2,0.07642754861010004,0.08140645580938832,0.04624945873164965,0.0049789071992883275,-0.01472281394165364,0.025974022773616698,0.3066933066933067,-0.035156997077738665,-0.054335754214690515,-0.015959685251020917,1.0,delta R2,0.7711145996860282,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,continuous,500,393,cognitive,estimated,log_tokens|log_segments,R2,0.07642754861010004,0.0699678204368186,0.09171601284087116,-0.006459728173281335,-0.022963235754667913,0.008634063229720322,0.8101898101898102,0.021748192404052482,-0.007927095039019703,0.051914283068464864,0.0919080919080919,delta R2,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,continuous,493,14,conversational,estimated,log_tokens|log_segments,R2,-0.0054773018067020285,-0.01119350725783641,-0.021230639930840844,-0.005716205451134669,-0.034910062347947274,0.021603631757915492,0.6513486513486514,-0.010037132673004288,-0.03693342716669852,0.014904404796708577,0.8051948051948052,delta R2,1.0,1.0,False,False
