gen_model,task_type,high,low,incomplete,incomplete_adequate_for_three_class_model
gemma4_31b,code,134,40,0,False
gemma4_31b,gpqa,385,108,0,False
gemma4_31b,idea,403,97,0,False
gemma4_31b,math,237,262,0,False
gemma4_31b,moral,250,250,0,False
gemma4_31b,planning,469,31,0,False
gemma4_31b,safety,309,4,0,False
gemma4_31b,security,419,74,0,False
gemma4_e4b,code,90,82,0,False
gemma4_e4b,gpqa,256,221,0,False
gemma4_e4b,idea,365,135,0,False
gemma4_e4b,math,271,214,0,False
gemma4_e4b,moral,250,250,0,False
gemma4_e4b,planning,408,80,0,False
gemma4_e4b,safety,54,3,0,False
gemma4_e4b,security,288,184,0,False
qwen35_27b,code,111,46,1,False
qwen35_27b,gpqa,381,102,1,False
qwen35_27b,idea,335,163,0,False
qwen35_27b,math,251,188,0,False
qwen35_27b,moral,250,247,0,False
qwen35_27b,planning,464,35,0,False
qwen35_27b,safety,313,0,0,False
qwen35_27b,security,372,83,1,False
qwen35_4b,code,69,23,2,False
qwen35_4b,gpqa,251,65,5,False
qwen35_4b,idea,134,27,0,False
qwen35_4b,math,217,191,1,False
qwen35_4b,moral,210,210,0,False
qwen35_4b,planning,367,62,5,False
qwen35_4b,safety,291,0,0,False
qwen35_4b,security,139,43,1,False
qwen35_9b,code,76,50,2,False
qwen35_9b,gpqa,326,87,4,False
qwen35_9b,idea,201,143,0,False
qwen35_9b,math,238,200,1,False
qwen35_9b,moral,243,242,0,False
qwen35_9b,planning,438,51,3,False
qwen35_9b,safety,308,0,0,False
qwen35_9b,security,231,70,0,False
reasoner,code,44,106,1,False
reasoner,gpqa,211,227,0,False
reasoner,idea,339,154,0,False
reasoner,math,397,101,0,False
reasoner,moral,253,247,0,False
reasoner,planning,274,138,16,False
reasoner,safety,185,127,0,False
reasoner,security,132,203,1,False
