gen_model,model_label,task_type,signature_family,high_n,low_n,incomplete_n,n,status,length_auroc,amount_auroc,full_auroc,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,amount_q_value,timing_q_value,amount_supported,timing_supported
gemma4_31b,Gemma 4 31B,code,conversational,134,40,0,174,estimated,0.8470149253731343,0.8395522388059702,0.8343283582089552,-0.00929642868687655,-0.05658267099847067,0.042795918704613356,0.6313686313686314,-0.03542475993503842,-0.09525627443869977,0.02072708486295321,0.8691308691308691,0.9293040293040293,1.0,False,False
gemma4_31b,Gemma 4 31B,code,cognitive,134,40,0,174,estimated,0.8470149253731343,0.876679104477612,0.8569029850746268,0.04580190318761823,-0.00653257614173447,0.09688794556193166,0.04495504495504495,-0.040699249550606,-0.09705467461150517,0.013595256338696987,0.903096903096903,0.27615241900956183,1.0,False,False
gemma4_31b,Gemma 4 31B,gpqa,conversational,385,108,0,493,estimated,0.7461038961038962,0.7475949975949976,0.7396825396825397,-0.0014794007952388,-0.018074091866195612,0.013236872896233721,0.5614385614385614,-0.0026714717431590464,-0.01978741950528758,0.013655673914435474,0.6033966033966034,0.9285330054560823,1.0,False,False
gemma4_31b,Gemma 4 31B,gpqa,cognitive,385,108,0,493,estimated,0.7461038961038962,0.7532467532467533,0.7296055796055796,0.004172785312386406,-0.014834234736475643,0.023451732520282594,0.31868131868131866,-0.02980202566928529,-0.050609251052065124,-0.012909388983658846,0.999000999000999,0.7612942612942613,1.0,False,False
gemma4_31b,Gemma 4 31B,idea,conversational,403,97,0,500,estimated,0.5472615179964698,0.5799800465580313,0.595661405438592,0.002126458474887987,-0.01714269113819772,0.021581833561745565,0.4115884115884116,-0.008165826495150847,-0.035845708707060345,0.01676027625015574,0.7172827172827173,0.8259467804922351,1.0,False,False
gemma4_31b,Gemma 4 31B,idea,cognitive,403,97,0,500,estimated,0.5472615179964698,0.515949962907063,0.5468010539510373,-0.008322540933489744,-0.014902016144523035,-0.0017574714941072046,0.993006993006993,-0.0014192517763811346,-0.016250153079646622,0.01485040230080047,0.5784215784215784,1.0,1.0,False,False
gemma4_31b,Gemma 4 31B,math,conversational,237,262,0,499,estimated,0.6522047218732889,0.639514284794022,0.6331851708699713,0.002569485418883928,-0.018389099817120412,0.022982314137240667,0.3956043956043956,-0.009885075774960414,-0.03354409037914231,0.014675978751235585,0.7932067932067932,0.8259467804922351,1.0,False,False
gemma4_31b,Gemma 4 31B,math,cognitive,237,262,0,499,estimated,0.6522047218732889,0.6525912326472767,0.6279833800367185,0.005240414008443435,-0.01991851313371685,0.028061253995548388,0.3776223776223776,-0.023799238662233983,-0.03668267734999308,-0.011982883622399017,1.0,0.8259467804922351,1.0,False,False
gemma4_31b,Gemma 4 31B,moral,conversational,250,250,0,500,estimated,0.589504,0.601664,0.62624,-0.002252815417487006,-0.016829008898753824,0.011859071808418192,0.6253746253746254,0.00807060618234707,-0.02012645267159661,0.03885296915380825,0.28471528471528473,0.9293040293040293,1.0,False,False
gemma4_31b,Gemma 4 31B,moral,cognitive,250,250,0,500,estimated,0.589504,0.6036,0.577744,-0.023956273622921066,-0.08124146324593148,0.013346029913499266,0.7782217782217782,-0.019974017370249748,-0.04152800028743432,0.002175806819734249,0.9660339660339661,1.0,1.0,False,False
