gen_model,model_label,task_type,domain,signature_family,layer,behavior,behavior_label,n_domain,shapley_gain,shapley_ci_low,shapley_ci_high,shapley_p_value,shapley_unit,direction_effect,direction_ci_low,direction_ci_high,direction_unit,shapley_q_value,supported
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,amount,Question_and_Answering,Question–answer,498,0.08851099550019909,0.06538989852923299,0.11174896760436392,0.000999000999000999,bits per held-out trace,-0.509620197419581,-0.5723010754255385,-0.44872527654664046,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,amount,Perspective_Shift,Perspective shift,498,0.23104967757288986,0.09069318462087478,0.3697542569791456,0.001998001998001998,bits per held-out trace,-1.0706003482515352,-1.1515100362971307,-0.979430543391297,standardized rate difference: domain minus other domains,0.002950895258587566,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,amount,Conflict_of_Perspectives,Perspective conflict,498,0.36847187843005186,0.28843214056546806,0.451663859271114,0.000999000999000999,bits per held-out trace,-0.9802187579971395,-1.0623160566953302,-0.9008211953419162,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,amount,Reconciliation,Reconciliation,498,0.032658621993307824,-0.01688527988778222,0.07742471090595568,0.0959040959040959,bits per held-out trace,-0.6279777756297149,-0.7152903013027694,-0.5466202424593323,standardized rate difference: domain minus other domains,0.1143701019477417,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,timing,Question_and_Answering,Question–answer,498,0.005711938833371236,-0.004821427265444961,0.015148024774963926,0.12887112887112886,bits per held-out trace,0.050829384983049064,0.01978605766302187,0.07936905122305522,conditional timing centroid difference: positive means later,0.24620155963439547,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,timing,Perspective_Shift,Perspective shift,498,0.02095681743656616,-0.0004928523038071654,0.04420721169649181,0.03796203796203796,bits per held-out trace,0.011307885887393176,-0.005296910518991185,0.028292840385959434,conditional timing centroid difference: positive means later,0.10640454436074874,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,timing,Conflict_of_Perspectives,Perspective conflict,498,-3.0354004974252107e-05,-0.011586342758000143,0.011767405934022857,0.5004995004995005,bits per held-out trace,-0.02338179034818655,-0.04554094745630459,0.00010149115916693,conditional timing centroid difference: positive means later,0.6301370760387154,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,timing,Reconciliation,Reconciliation,498,0.04803374717491146,0.023569596490594834,0.07194876289271486,0.000999000999000999,bits per held-out trace,-0.05201374788348623,-0.07498353996168852,-0.028959763347491452,conditional timing centroid difference: positive means later,0.0073772381464689155,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,amount,Question_and_Answering,Question–answer,154,0.04659865309636006,0.0070317087230684396,0.08849837460916704,0.01898101898101898,bits per held-out trace,-0.3164673856198975,-0.3855649223180903,-0.2532226761163723,standardized rate difference: domain minus other domains,0.024624024624024625,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,amount,Perspective_Shift,Perspective shift,154,0.04159118486499351,0.012483832062415184,0.07019130223138209,0.005994005994005994,bits per held-out trace,-0.38447867248748835,-0.48961738642253266,-0.2796153859771777,standardized rate difference: domain minus other domains,0.008431129310250191,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,amount,Conflict_of_Perspectives,Perspective conflict,154,0.05295579705355265,-0.01666280403992903,0.11923491347417509,0.07792207792207792,bits per held-out trace,0.4068375121445761,0.2703917865170137,0.5404828151506283,standardized rate difference: domain minus other domains,0.09350649350649351,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,amount,Reconciliation,Reconciliation,154,-7.997182894773443e-05,-0.008741156610528602,0.00756571907353884,0.5014985014985015,bits per held-out trace,-0.3534342740940417,-0.4280732748330372,-0.27067666011503855,standardized rate difference: domain minus other domains,0.5334499295718131,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,timing,Question_and_Answering,Question–answer,154,0.00448079451260705,-0.01886317253593958,0.02803266290709267,0.34265734265734266,bits per held-out trace,-0.03518622694404183,-0.06264194561081837,-0.008769011693343117,conditional timing centroid difference: positive means later,0.48733488733488733,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,timing,Perspective_Shift,Perspective shift,154,-0.0023826793571277076,-0.033562955047819296,0.02591080158630143,0.5454545454545454,bits per held-out trace,-0.007338118439628172,-0.021851907930985435,0.008118133591348978,conditional timing centroid difference: positive means later,0.6694961089865548,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,timing,Conflict_of_Perspectives,Perspective conflict,154,0.059116303524563395,-0.008514143370534603,0.12862967026464894,0.053946053946053944,bits per held-out trace,-0.0827821996456583,-0.10142776263402227,-0.06289617552418372,conditional timing centroid difference: positive means later,0.1390287564784209,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,timing,Reconciliation,Reconciliation,154,0.06896492249274477,-0.0031354463773931355,0.13336973250179052,0.027972027972027972,bits per held-out trace,-0.2783946034479889,-0.3010207108979262,-0.25729855556941206,conditional timing centroid difference: positive means later,0.08524808524808525,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,amount,Question_and_Answering,Question–answer,484,0.07391765380005183,0.031711349535116645,0.11676782269208183,0.000999000999000999,bits per held-out trace,-0.4516355060861147,-0.5116130273213141,-0.3914364963595194,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,amount,Perspective_Shift,Perspective shift,484,0.13166426660150451,0.09422828827816054,0.1680859075703531,0.000999000999000999,bits per held-out trace,0.00025746355762007445,-0.07319186319759104,0.0750121513484661,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,amount,Conflict_of_Perspectives,Perspective conflict,484,0.14441942391067863,0.09829683280635397,0.18504887553301844,0.000999000999000999,bits per held-out trace,0.9092198598615324,0.8261615504879724,1.0028490397652998,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,amount,Reconciliation,Reconciliation,484,0.009735778026550807,-0.01097573824443891,0.026032178603762796,0.16683316683316685,bits per held-out trace,-0.20475815582617884,-0.2715986771981053,-0.13326992065637158,standardized rate difference: domain minus other domains,0.1912356300416002,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,timing,Question_and_Answering,Question–answer,484,0.005831724757620975,-0.00940311346734655,0.01927606222847203,0.22277722277722278,bits per held-out trace,-0.08410464705289633,-0.1091523511349909,-0.059490924450922265,conditional timing centroid difference: positive means later,0.36248497265446417,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,timing,Perspective_Shift,Perspective shift,484,0.011551694906847553,-0.00433275970435212,0.028807108937176883,0.0959040959040959,bits per held-out trace,0.003565791995074341,-0.005859960848522023,0.013062253877650235,conditional timing centroid difference: positive means later,0.2068942293661395,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,timing,Conflict_of_Perspectives,Perspective conflict,484,0.005850074990806791,-0.0017981255431733152,0.013090920455390566,0.08191808191808192,bits per held-out trace,-0.001308372762598875,-0.015710146582396167,0.012074126316963987,conditional timing centroid difference: positive means later,0.18613339323398495,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,timing,Reconciliation,Reconciliation,484,0.024390755321782198,0.007428397191939541,0.04247346640471352,0.004995004995004995,bits per held-out trace,-0.13738467997426107,-0.15619541920331606,-0.11741146904145355,conditional timing centroid difference: positive means later,0.02491015478028465,True
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,conversational,amount,Question_and_Answering,Question–answer,458,0.10277874705798011,0.07090773959922726,0.13431902684959818,0.000999000999000999,bits per held-out trace,-0.31298420628939205,-0.37844437688789057,-0.24852919682571845,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,conversational,amount,Perspective_Shift,Perspective shift,458,0.42431814100044746,0.3364192296773056,0.5131072200798876,0.000999000999000999,bits per held-out trace,-0.7587389001781255,-0.8249608421451444,-0.6987153319424576,standardized rate difference: domain minus other domains,0.001510300722899148,True
