domain,contrast,estimate,ci_low,ci_high,metric,bootstrap_reps
math,DeltaDialectical|Metadata,0.007804171378585245,-0.0012278637686027466,0.017804783752260297,AUROC,500
math,DeltaExecutive|Metadata,0.010361528219828164,0.001666728849000285,0.01772469767970781,AUROC,500
math,DeltaExecutive|Dialectical,0.00014020046931484398,-0.005235107158531238,0.005722625001101616,AUROC,500
math,DeltaDialectical|Executive,-0.0024171563719280753,-0.008934740462997281,0.004279080428925303,AUROC,500
math,DeltaTiming,0.0006633969937316353,-0.006076549206654067,0.007457485789789559,AUROC,500
math,DeltaCoupling,-0.0019381220311055491,-0.005103122257574344,0.0015336556134806396,AUROC,500
math,DeltaMotifs,0.0001670063362126939,-0.006325300558933668,0.006375865462964194,AUROC,500
code,DeltaDialectical|Metadata,-0.0013047929888631016,-0.011773860549840033,0.0094888322627636,AUROC,500
code,DeltaExecutive|Metadata,0.028631519806609718,0.014015005944268988,0.04289269133424972,AUROC,500
code,DeltaExecutive|Dialectical,0.025741015225049124,0.01315706816312757,0.038955466857779904,AUROC,500
code,DeltaDialectical|Executive,-0.004195297570423695,-0.011801167511539238,0.0019428431662725672,AUROC,500
code,DeltaTiming,-0.0036704233369433403,-0.010549289722516734,0.0026415167088331298,AUROC,500
code,DeltaCoupling,-0.0006542446431410109,-0.0065736295904293834,0.005698147721220203,AUROC,500
code,DeltaMotifs,-0.005758831378608109,-0.012510108760529293,1.404105839799683e-05,AUROC,500
gpqa,DeltaDialectical|Metadata,0.005344963691903404,0.0011311889847795992,0.010468171524883623,AUROC,500
gpqa,DeltaExecutive|Metadata,0.01043201976964836,0.0022066572814193252,0.017227513682815748,AUROC,500
gpqa,DeltaExecutive|Dialectical,0.007974542655271644,0.0004217189629917906,0.014815002941614024,AUROC,500
gpqa,DeltaDialectical|Executive,0.002887486577526688,-0.001087022198974477,0.006689293837830184,AUROC,500
gpqa,DeltaTiming,0.002927202388832484,-0.0010945851237899374,0.006936289317830895,AUROC,500
gpqa,DeltaCoupling,0.003169910124590003,-0.0010716893953511269,0.007478058736439032,AUROC,500
gpqa,DeltaMotifs,-0.0032797415040034528,-0.006768373123577293,0.0006596195124345688,AUROC,500
planning,DeltaDialectical|Metadata,0.007096517546590131,-0.0019302792399911893,0.01590029202266647,AUROC,500
planning,DeltaExecutive|Metadata,0.0037952710548102564,-0.0027833478354372604,0.010071294946666746,AUROC,500
planning,DeltaExecutive|Dialectical,0.00625376976259695,0.0010991711110630382,0.011471053109242365,AUROC,500
planning,DeltaDialectical|Executive,0.009555016254376825,0.0006396794826618148,0.018319626578520893,AUROC,500
planning,DeltaTiming,0.01597539822254479,0.0080063404696636,0.023421503874566183,AUROC,500
planning,DeltaCoupling,0.0016958281078666149,-0.0027526924699969144,0.006009039518269318,AUROC,500
planning,DeltaMotifs,-0.00014594712581028624,-0.004241813481083217,0.0029589300320325756,AUROC,500
moral,DeltaDialectical|Metadata,0.004102348594351879,-0.003082813435072515,0.01103035566984851,R2,500
moral,DeltaExecutive|Metadata,0.004169952843476987,-0.0007736447510512999,0.008767173691184082,R2,500
moral,DeltaExecutive|Dialectical,0.001259328831666684,-0.0022761791061788605,0.004525019093780407,R2,500
moral,DeltaDialectical|Executive,0.0011917245825415756,-0.003851473894728133,0.006720085230339247,R2,500
moral,DeltaTiming,0.00022565176194688785,-0.004477781000857925,0.0045495940918094235,R2,500
moral,DeltaCoupling,-0.002507368509819141,-0.004108924556409233,-0.0008246501752620942,R2,500
moral,DeltaMotifs,-0.0011427044098384354,-0.005576225276742552,0.0030462823005010437,R2,500
idea,DeltaDialectical|Metadata,3.257614514984297e-05,-0.0023572110354938003,0.00242167102007659,R2,500
idea,DeltaExecutive|Metadata,-0.0009940859463907215,-0.0015368683928847048,-0.00032447611308934814,R2,500
idea,DeltaExecutive|Dialectical,-0.0009227913714086045,-0.0017627528322527036,-0.00013622857218556245,R2,500
idea,DeltaDialectical|Executive,0.00010387072013195997,-0.0022899494347641573,0.0023115884948271383,R2,500
