domain,motif,n,std_log_odds,se,odds_ratio_per_sd,p_value,q_value
math,question_to_subgoal,2767,0.0123057317629008,0.042295396535324,1.012381758816122,0.7710916190199221,0.8733118847939709
math,conflict_to_verification,2767,-0.1043804551743539,0.0620624116432662,0.9008824868097128,0.0925954671656125,0.2533279594000595
math,reconciliation_to_verification,2767,0.1617416750102272,0.0577829679421223,1.1755565264664436,0.0051241503162029,0.0367618536109494
math,D_to_E,2767,-0.055605673365698,0.0703961812477964,0.9459120606777084,0.4295884131689393,0.6204270235665358
math,E_to_D,2767,0.0002322333785994,0.0713123084370493,1.000232260346858,0.9974016392985686,0.9974016392985684
code,question_to_subgoal,871,-0.2743894776346849,0.1006861389110106,0.7600360005836095,0.0064263297241104,0.0367618536109494
code,conflict_to_verification,871,0.7263805091454261,0.2384213652925343,2.0675834485264706,0.0023142617663281,0.0231426176632812
code,reconciliation_to_verification,871,0.3845192072455188,0.2014051710773152,1.468907911355547,0.0562385663157773,0.1730417425100841
code,D_to_E,871,0.0638130370323698,0.262337646118679,1.0658930975944143,0.807813493434423,0.8733118847939709
code,E_to_D,871,0.7384840734526475,0.271019543612341,2.0927606372547474,0.0064333243819161,0.0367618536109494
gpqa,question_to_subgoal,2620,-0.0360331359910661,0.046086636538809,0.9646083297005548,0.434298916496575,0.6204270235665358
gpqa,conflict_to_verification,2620,0.0896154621820147,0.0732119713501126,1.0937536132007013,0.2209315698436382,0.4506935632836876
gpqa,reconciliation_to_verification,2620,0.0693992612788842,0.0791900806207549,1.0718640775494124,0.3808326941197282,0.6204270235665358
gpqa,D_to_E,2620,0.2827116583032086,0.1278041684027938,1.3267225572260577,0.0269618872600014,0.1078475490400059
gpqa,E_to_D,2620,0.4875191250578351,0.1263408624081569,1.6282716666375228,0.0001139635669482,0.0045585426779293
planning,question_to_subgoal,2817,0.1315970684180364,0.1925594935757903,1.1406486233061908,0.4943478523477638,0.649370223164952
planning,conflict_to_verification,2817,-0.1797898178380046,0.0743919956762514,0.8354457887611239,0.015658055528731,0.0695913579054715
planning,reconciliation_to_verification,2817,-0.078804306042656,0.0668045967967637,0.9242207711693736,0.2381497910627797,0.45361864964339
planning,D_to_E,2817,0.1121725523153968,0.1427197795905167,1.118705879281378,0.4318888101412559,0.6204270235665358
planning,E_to_D,2817,0.4062252211711566,0.133010766272817,1.5011406030332035,0.0022575356828546,0.0231426176632812
moral,question_to_subgoal,2902,0.0156361037095245,0.0486747987668811,1.0157589872168094,0.7480314583710223,0.8733118847939709
moral,conflict_to_verification,2902,-0.0821766157102071,0.0380269794041689,0.921109261962892,0.0306947031613565,0.1116171024049328
moral,reconciliation_to_verification,2902,-0.0295383313993843,0.0407472442245291,0.9708936612152322,0.4685035328122937,0.6462117693962672
moral,D_to_E,2902,-0.0154054033089944,0.0586654397901071,0.9847126529045608,0.792860755113232,0.8733118847939709
moral,E_to_D,2902,0.004876386114143,0.0631138359144588,1.0048882950345397,0.9384140497121668,0.9624759484227352
idea,question_to_subgoal,2496,0.0052415991286166,0.0560721203032272,1.005255360342412,0.9255225590839208,0.9624759484227352
idea,conflict_to_verification,2496,-0.0511377296176044,0.0490638074263751,0.9501477980272338,0.2972865638182201,0.5405210251240367
idea,reconciliation_to_verification,2496,0.0880896591955595,0.0527608491768271,1.0920860331940316,0.0949979847750223,0.2533279594000595
idea,D_to_E,2496,-0.3330763237063145,0.1245810099451107,0.7167154896855557,0.0075048121506824,0.0375240607534122
idea,E_to_D,2496,-0.1584794700512893,0.1214989577573179,0.8534404847004602,0.1921078107252588,0.4269062460561307
safety,question_to_subgoal,1594,0.0787346577056684,0.1176256892250478,1.0819172055863189,0.5032619229528378,0.649370223164952
safety,conflict_to_verification,1594,0.2655282005396957,0.1353891284610869,1.304119630581139,0.0498530771091113,0.1661769236970377
safety,reconciliation_to_verification,1594,-0.0861100564709005,0.1023791782533228,0.9174932495942868,0.4002977716229668,0.6204270235665358
safety,D_to_E,1594,0.372101999005016,0.2440714826501106,1.4507809519601964,0.1273684927364249,0.2996905711445292
safety,E_to_D,1594,0.1363810210741036,0.2500738424961255,1.1461185057144676,0.5855038822640748,0.7097016754716058
security,question_to_subgoal,2238,0.0299757676668175,0.0524587075301104,1.0304295639384629,0.5677173907071575,0.7096467383839469
security,conflict_to_verification,2238,-0.0792688945556895,0.0653800356407224,0.9237914885431914,0.2253467816418438,0.4506935632836876
security,reconciliation_to_verification,2238,0.0612645692404043,0.0763886547180556,1.0631801617486347,0.4225463841313522,0.6204270235665358
security,D_to_E,2238,0.1673024438090048,0.1039910184377687,1.1821117336239837,0.1076565192122153,0.2691412980305383
security,E_to_D,2238,0.3377019236346316,0.1082865410673021,1.4017226207438962,0.0018171521983572,0.0231426176632812
