split,prefix,feature_set,baseline,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_log_loss,delta_brier
prompt_disjoint,0.1,length,metadata,0.01720859609044767,0.011861955616577616,0.023007313829966205,0.09359638893936356,0.04434408908776142,0.14357023652381087,-0.0032711689416194123,-0.0015444003863299416
prompt_disjoint,0.1,counts,length,-0.01863808598826311,-0.041414464847897854,-0.00017210655068502484,-0.020652434185274515,-0.06551473344342537,0.023452017952392445,0.01629813895948401,0.0018097650518578909
prompt_disjoint,0.1,temporal,counts,0.011561313033208842,0.00406319394585134,0.01914788589073962,0.07175690482611391,0.011832513050778301,0.1339615078577083,-0.003843163822396828,-0.0024209843556764893
prompt_disjoint,0.1,time_shuffled,counts,-0.001734994915849275,-0.0055907115509169466,0.000408238446019074,0.0011681743909183195,-0.0016705728328722442,0.0042898919824232344,0.0010890325229897801,1.3476475829797552e-05
prompt_disjoint,0.1,temporal,time_shuffled,0.013296307949058117,0.004192617209835637,0.023162141342479382,0.07058873043519559,0.007942773470692926,0.13070596712065766,-0.004932196345386608,-0.002434460831506287
random_trace,0.1,length,metadata,0.015081460405181768,0.008963300556361058,0.022065099234823384,0.08191083747731859,0.029247458526980744,0.137732626788813,-0.00532067268997119,-0.001681035016429487
random_trace,0.1,counts,length,-0.020655787040203544,-0.04737581898126439,-0.0017839627636980337,-0.007908563839226168,-0.05628743533986912,0.03378589930020591,0.019062430909694755,0.0016995722948350417
random_trace,0.1,temporal,counts,0.010081665595119249,0.0018443543235064199,0.018137555226090875,0.04339773820848736,-0.013133651829373219,0.1061371462760856,-0.0005690512492450006,-0.001496771257656078
random_trace,0.1,time_shuffled,counts,-0.0016962368165465147,-0.005422849901965698,0.00016978797275166125,-0.0006827214543843607,-0.003441910392418204,0.0020065374956107006,0.0014474139326057511,0.00010631506060554408
random_trace,0.1,temporal,time_shuffled,0.011777902411665764,0.003899743788226731,0.01993935319642497,0.04408045966287172,-0.01739787134720536,0.10579166415558787,-0.0020164651818507517,-0.001603086318261622
prompt_disjoint,0.25,length,metadata,0.018179828461212244,0.012542154998241817,0.023937785127651427,0.09703824828447505,0.04440105245686597,0.14567801881059222,-0.0036791892632846712,-0.0016690593360964012
prompt_disjoint,0.25,counts,length,-0.0017532340214035935,-0.006438122854908406,0.002625240875937415,-0.024250026195951346,-0.05757768633225433,0.006122924780992417,0.0032152917188137675,0.0011243151236019142
prompt_disjoint,0.25,temporal,counts,-0.025420753366254933,-0.05035664905901077,-0.008644968102930953,-0.03785643441636477,-0.07867077799598604,0.00409416432634005,0.021689506204880138,0.004687565449630518
prompt_disjoint,0.25,time_shuffled,counts,-0.001887747424866304,-0.006211738603017788,5.775007092193028e-05,-0.0005713359740015522,-0.00325696849782304,0.001570906009107598,0.000563900468120021,3.2307148308020894e-05
prompt_disjoint,0.25,temporal,time_shuffled,-0.02353300594138863,-0.04710488851366455,-0.004163399955584704,-0.03728509844236322,-0.08059063490123279,0.0033886711312942366,0.021125605736760117,0.004655258301322497
