gen_model,model_label,signature_family,domain_a,domain_b,domain_pair,n,n_domain_a,n_domain_b,length_auroc,amount_auroc,full_auroc,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,class_order,amount_q_value,timing_q_value,amount_supported,timing_supported
reasoner,DeepSeek-R1 Distill 8B,conversational,math,code,Math – Code,652,498,154,0.9162885307463621,0.9198482240650915,0.9337870964376989,0.00953888222169921,-0.008404921858149334,0.026223702920535264,0.13886113886113885,0.03693110029357681,0.007450793225223353,0.06624432541326983,0.014985014985014986,code|math,0.14859026323994476,0.05244755244755245,False,False
reasoner,DeepSeek-R1 Distill 8B,conversational,math,gpqa,Math – GPQA,982,498,484,0.7575550134421986,0.9263583258654452,0.9263292840784626,0.3067744552422217,0.26268925401115734,0.35014522661959113,0.000999000999000999,-0.00040934483064941846,-0.010671417935033933,0.01086481393732239,0.5254745254745254,gpqa|math,0.0012030979772915257,0.6563547976187382,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,math,planning,Math – Planning,956,498,458,0.8675444134617071,0.8576620894056576,0.8616606162641833,0.08756738884782218,0.054774032036518,0.12012046409335116,0.000999000999000999,0.0299798967350816,0.010393544574766477,0.049474506587055385,0.001998001998001998,math|planning,0.0012030979772915257,0.011188811188811189,True,True
reasoner,DeepSeek-R1 Distill 8B,conversational,math,moral,Math – Moral,998,498,500,0.8565763052208836,0.9825903614457832,0.9860562248995984,0.4274069109078551,0.3768941170584371,0.47846914799557194,0.000999000999000999,0.03225062612176122,0.0008246141576604307,0.06237455957562737,0.014985014985014986,math|moral,0.0012030979772915257,0.05244755244755245,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,math,idea,Math – Idea,991,498,493,0.8873750580414966,0.9886768168006712,0.9873408441066497,0.41618662159223824,0.36781578121708414,0.4636929602527622,0.000999000999000999,-7.272176505149749e-06,-0.02422846400826776,0.020459436397252284,0.5144855144855145,idea|math,0.0012030979772915257,0.6523288032721996,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,math,safety,Math – Safety,810,498,312,0.9017930697147565,0.9788191226444238,0.9800870147255689,0.31857896351459714,0.261937822690594,0.37401786999893877,0.000999000999000999,0.0131739276541824,-0.014338754948005267,0.03782667865405593,0.16383616383616384,math|safety,0.0012030979772915257,0.29281356940931413,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,math,security,Math – Security,896,498,398,0.8472836067889649,0.927917700954572,0.9282254646727613,0.2301771252869617,0.18928401306566053,0.2692049319092508,0.000999000999000999,0.021030873555205006,-0.0058289967692062945,0.046487802554375464,0.060939060939060936,math|security,0.0012030979772915257,0.14318548584282847,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,code,gpqa,Code – GPQA,638,154,484,0.8402516904583021,0.8820704089299131,0.8963856391542342,0.10214122146466317,0.05044449068121196,0.14702758657997586,0.000999000999000999,0.027583700710023792,-0.0036599362658926386,0.06199917741823615,0.04395604395604396,code|gpqa,0.0012030979772915257,0.11449016100178891,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,code,planning,Code – Planning,612,154,458,0.880536494073612,0.8835563999319458,0.9075738671808541,0.0211756475685793,-0.004684424593164438,0.04912611264897272,0.06393606393606394,0.02510633353775024,-0.015523828116110751,0.06903666577897294,0.12787212787212787,code|planning,0.06974843338479703,0.24692548830479866,False,False
reasoner,DeepSeek-R1 Distill 8B,conversational,code,moral,Code – Moral,654,154,500,0.9872467532467533,0.9932727272727273,0.9948701298701299,0.03607069947061159,0.008689567586822091,0.065364315816155,0.002997002997002997,0.0008245666183622405,-0.011123001615628363,0.010913168337673267,0.42357642357642356,code|moral,0.0035086864355157042,0.5715730053079451,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,code,idea,Code – Idea,647,154,493,0.9786623113195121,0.9949421774979584,0.9970496035404758,0.11910172442248489,0.0799524571917645,0.160398834485216,0.000999000999000999,0.0016138355383238483,-0.014894452913859707,0.01900867447624782,0.43656343656343655,code|idea,0.0012030979772915257,0.582084582084582,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,code,safety,Code – Safety,466,154,312,0.986013986013986,0.9949425574425574,0.9975441225441225,0.08621841870904956,0.03105501398830262,0.16498315598135152,0.000999000999000999,0.0016613719263609227,-0.015406321998430847,0.02110741221940322,0.4405594405594406,code|safety,0.0012030979772915257,0.5850907985295337,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,code,security,Code – Security,552,154,398,0.9175259413952881,0.9463225216994061,0.949911897148078,0.0858319044429604,0.04614237183511426,0.13027271837476112,0.000999000999000999,0.012201421011770564,-0.01617823435505417,0.03985496973753401,0.1998001998001998,code|security,0.0012030979772915257,0.34251462822891393,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,gpqa,planning,GPQA – Planning,942,484,458,0.7135768161969035,0.8007867479880183,0.8163953949980151,0.18553398177181027,0.1433229020910145,0.2291788529519923,0.000999000999000999,0.024438729314819663,0.0031033257237316966,0.04665319329515898,0.016983016983016984,gpqa|planning,0.0012030979772915257,0.0576393303666031,True,False
reasoner,DeepSeek-R1 Distill 8B,conversational,gpqa,moral,GPQA – Moral,984,484,500,0.8967954545454545,0.9485082644628099,0.9549297520661157,0.12481812149525694,0.08015169162409537,0.16879775885771436,0.000999000999000999,0.026176180119108727,0.0007266604130992801,0.05311525923108347,0.013986013986013986,gpqa|moral,0.0012030979772915257,0.0499925606308585,True,True
reasoner,DeepSeek-R1 Distill 8B,conversational,gpqa,idea,GPQA – Idea,977,484,493,0.8528783129096609,0.9737397951486094,0.9778384993210736,0.35403908945400664,0.3004122972838834,0.41061172085551273,0.000999000999000999,0.029252509659032908,0.009821987570911132,0.05039375189424299,0.004995004995004995,gpqa|idea,0.0012030979772915257,0.022377622377622378,True,True
reasoner,DeepSeek-R1 Distill 8B,conversational,gpqa,safety,GPQA – Safety,796,484,312,0.8919990993854631,0.9662534435261708,0.9725312566221657,0.2076342958716137,0.15242967959227013,0.2723613220064189,0.000999000999000999,0.03134064069871266,0.006762647005780197,0.055554133224080295,0.005994005994005994,gpqa|safety,0.0012030979772915257,0.025820333512641208,True,True
