gen_model,model_label,task_type,domain,signature_family,layer,behavior,behavior_label,n_domain,shapley_gain,shapley_ci_low,shapley_ci_high,shapley_p_value,shapley_unit,direction_effect,direction_ci_low,direction_ci_high,direction_unit,shapley_q_value,supported
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,amount,Question_and_Answering,Question–answer,498,0.08851099550019909,0.06538989852923299,0.11174896760436392,0.000999000999000999,bits per held-out trace,-0.509620197419581,-0.5723010754255385,-0.44872527654664046,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,amount,Perspective_Shift,Perspective shift,498,0.23104967757288986,0.09069318462087478,0.3697542569791456,0.001998001998001998,bits per held-out trace,-1.0706003482515352,-1.1515100362971307,-0.979430543391297,standardized rate difference: domain minus other domains,0.002950895258587566,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,amount,Conflict_of_Perspectives,Perspective conflict,498,0.36847187843005186,0.28843214056546806,0.451663859271114,0.000999000999000999,bits per held-out trace,-0.9802187579971395,-1.0623160566953302,-0.9008211953419162,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,conversational,amount,Reconciliation,Reconciliation,498,0.032658621993307824,-0.01688527988778222,0.07742471090595568,0.0959040959040959,bits per held-out trace,-0.6279777756297149,-0.7152903013027694,-0.5466202424593323,standardized rate difference: domain minus other domains,0.1143701019477417,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,amount,Question_and_Answering,Question–answer,154,0.04659865309636006,0.0070317087230684396,0.08849837460916704,0.01898101898101898,bits per held-out trace,-0.3164673856198975,-0.3855649223180903,-0.2532226761163723,standardized rate difference: domain minus other domains,0.024624024624024625,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,amount,Perspective_Shift,Perspective shift,154,0.04159118486499351,0.012483832062415184,0.07019130223138209,0.005994005994005994,bits per held-out trace,-0.38447867248748835,-0.48961738642253266,-0.2796153859771777,standardized rate difference: domain minus other domains,0.008431129310250191,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,amount,Conflict_of_Perspectives,Perspective conflict,154,0.05295579705355265,-0.01666280403992903,0.11923491347417509,0.07792207792207792,bits per held-out trace,0.4068375121445761,0.2703917865170137,0.5404828151506283,standardized rate difference: domain minus other domains,0.09350649350649351,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,conversational,amount,Reconciliation,Reconciliation,154,-7.997182894773443e-05,-0.008741156610528602,0.00756571907353884,0.5014985014985015,bits per held-out trace,-0.3534342740940417,-0.4280732748330372,-0.27067666011503855,standardized rate difference: domain minus other domains,0.5334499295718131,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,amount,Question_and_Answering,Question–answer,484,0.07391765380005183,0.031711349535116645,0.11676782269208183,0.000999000999000999,bits per held-out trace,-0.4516355060861147,-0.5116130273213141,-0.3914364963595194,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,amount,Perspective_Shift,Perspective shift,484,0.13166426660150451,0.09422828827816054,0.1680859075703531,0.000999000999000999,bits per held-out trace,0.00025746355762007445,-0.07319186319759104,0.0750121513484661,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,amount,Conflict_of_Perspectives,Perspective conflict,484,0.14441942391067863,0.09829683280635397,0.18504887553301844,0.000999000999000999,bits per held-out trace,0.9092198598615324,0.8261615504879724,1.0028490397652998,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,gpqa,GPQA,conversational,amount,Reconciliation,Reconciliation,484,0.009735778026550807,-0.01097573824443891,0.026032178603762796,0.16683316683316685,bits per held-out trace,-0.20475815582617884,-0.2715986771981053,-0.13326992065637158,standardized rate difference: domain minus other domains,0.1912356300416002,False
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,conversational,amount,Question_and_Answering,Question–answer,458,0.10277874705798011,0.07090773959922726,0.13431902684959818,0.000999000999000999,bits per held-out trace,-0.31298420628939205,-0.37844437688789057,-0.24852919682571845,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,conversational,amount,Perspective_Shift,Perspective shift,458,0.42431814100044746,0.3364192296773056,0.5131072200798876,0.000999000999000999,bits per held-out trace,-0.7587389001781255,-0.8249608421451444,-0.6987153319424576,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,conversational,amount,Conflict_of_Perspectives,Perspective conflict,458,0.05200961949908523,0.02285549626531855,0.08447922408276294,0.001998001998001998,bits per held-out trace,0.0003062777036666519,-0.0815988697713845,0.08074834663272062,standardized rate difference: domain minus other domains,0.002950895258587566,True
reasoner,DeepSeek-R1 Distill 8B,planning,Planning,conversational,amount,Reconciliation,Reconciliation,458,0.05429166547238271,0.027266792715768758,0.08230705615808573,0.001998001998001998,bits per held-out trace,-0.011923414611585408,-0.11712703495879252,0.09160312618445031,standardized rate difference: domain minus other domains,0.002950895258587566,True
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,conversational,amount,Question_and_Answering,Question–answer,500,0.015899334281653157,-0.021053016724727612,0.04833907805524979,0.17382617382617382,bits per held-out trace,0.43267436523708847,0.32851132245039566,0.5423948225836134,standardized rate difference: domain minus other domains,0.19806899332121883,False
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,conversational,amount,Perspective_Shift,Perspective shift,500,0.22945183533802335,0.20359690072224806,0.2545821337185589,0.000999000999000999,bits per held-out trace,0.49513722089188505,0.43762270717357604,0.5501009097917057,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,conversational,amount,Conflict_of_Perspectives,Perspective conflict,500,0.13989171747577098,0.09466945661561343,0.18159591352091312,0.000999000999000999,bits per held-out trace,0.23399581052334137,0.15310669386128947,0.3097238039125498,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,conversational,amount,Reconciliation,Reconciliation,500,0.16471891409450395,0.10767273667968283,0.21618767817858936,0.000999000999000999,bits per held-out trace,0.8823138860038338,0.7698212424185397,0.9880180524769927,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,amount,Question_and_Answering,Question–answer,493,0.2181922703757987,0.15873745350278035,0.2729509505396969,0.000999000999000999,bits per held-out trace,0.8895537077460406,0.7736381106483646,1.0068553378994938,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,amount,Perspective_Shift,Perspective shift,493,0.591036317173564,0.4823585464236547,0.7011020935799805,0.000999000999000999,bits per held-out trace,1.2147573246546723,1.1155259077617092,1.3168018681285236,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,amount,Conflict_of_Perspectives,Perspective conflict,493,0.06901065808571294,0.05804351742630017,0.07979521323659419,0.000999000999000999,bits per held-out trace,-0.14026945457716242,-0.22153916666497186,-0.05848151422768919,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,amount,Reconciliation,Reconciliation,493,0.00987439560484361,-0.010930756244913922,0.029082830929167067,0.17082917082917082,bits per held-out trace,0.0054747821194201865,-0.07875013582287246,0.09967122909236852,standardized rate difference: domain minus other domains,0.19523333809048093,False
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,amount,Question_and_Answering,Question–answer,312,0.17320942525120692,0.10249831728636641,0.2466497898361119,0.000999000999000999,bits per held-out trace,0.8358467132516861,0.7026887504321093,0.9783160220470399,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,amount,Perspective_Shift,Perspective shift,312,0.2726151962518307,0.21752114716836812,0.32939927628015536,0.000999000999000999,bits per held-out trace,0.6024090966010165,0.5166072511670194,0.699200040768763,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,amount,Conflict_of_Perspectives,Perspective conflict,312,-0.05800715653057955,-0.08554882635066283,-0.03484452709786587,1.0,bits per held-out trace,-0.2030359402967164,-0.32096089450653686,-0.08168042572734076,standardized rate difference: domain minus other domains,1.0,False
