task_type,behavior,n,presence,mean_rate,mean_count
code,Conflict_of_Perspectives,148.0,0.8848168496858898,0.04949653790390998,31.56105180013945
code,Perspective_Shift,148.0,0.9924168275633551,0.11909415500863207,59.637804702372286
code,Question_and_Answering,148.0,0.7927633789607736,0.04026236265645488,29.071208234114575
code,Reconciliation,148.0,0.8822517364462872,0.03479064668448905,22.173176514597326
code,backtracking,148.0,0.8336867147338739,0.02558593559559162,14.323777989159685
code,backward_chaining,148.0,0.21651026952705354,0.002279009208047283,1.5459495740463558
code,subgoal,148.0,0.993134389095789,0.06688570877818871,24.80919431694956
code,verification,148.0,0.96814191868626,0.1359340570442105,72.56920760422285
gpqa,Conflict_of_Perspectives,455.8333333333333,0.9544812570126165,0.08222686568023714,40.35896479605873
gpqa,Perspective_Shift,455.8333333333333,0.9959779614325068,0.16278525626581367,74.36336704781272
gpqa,Question_and_Answering,455.8333333333333,0.8564450732384397,0.07982250313323433,51.271542235722826
gpqa,Reconciliation,455.8333333333333,0.9616089840895036,0.04786111805488952,22.713083478491498
gpqa,backtracking,455.8333333333333,0.8400235040654446,0.037750488365291955,19.54771306074867
gpqa,backward_chaining,455.8333333333333,0.4201640423411201,0.007596703635516417,3.9481395482933284
gpqa,subgoal,455.8333333333333,0.9706115702479338,0.06219543023251748,19.693424445975122
gpqa,verification,455.8333333333333,0.9840468319559229,0.1768524486099945,83.57606991079476
idea,Conflict_of_Perspectives,416.0,0.9698816768086544,0.10703797251836412,18.3110958944995
idea,Perspective_Shift,416.0,1.0,0.28611194069065643,44.20203884281648
idea,Question_and_Answering,416.0,0.9555625422582826,0.10213863599845853,10.41076166412537
idea,Reconciliation,416.0,0.8685909398242054,0.035358659817867316,5.343979146768348
idea,backtracking,416.0,0.7894685734146866,0.10264079200907006,21.83207382481631
idea,backward_chaining,416.0,0.018504057907293165,0.00029718078911339434,0.03239758719185453
idea,subgoal,416.0,0.985657200811359,0.11149722301560659,11.348867950770947
idea,verification,416.0,0.9687396889790398,0.1339436210861671,19.214312951869505
math,Conflict_of_Perspectives,461.5,0.6530352007992185,0.029524389302563802,13.327534078934468
math,Perspective_Shift,461.5,0.9186394046690128,0.12555412732021723,31.25616456041163
math,Question_and_Answering,461.5,0.7002918968970132,0.0665321391192303,25.269230926278727
math,Reconciliation,461.5,0.7465024762494111,0.03615499311594448,12.672987060251954
math,backtracking,461.5,0.5238073385722698,0.012979304022238384,5.947467478107606
math,backward_chaining,461.5,0.1596829186091664,0.003027641932653417,0.746698889802517
math,subgoal,461.5,0.9482038035136781,0.13293979916611362,16.65675291530915
math,verification,461.5,0.9188067353188553,0.188718239553035,57.21530882611305
moral,Conflict_of_Perspectives,483.6666666666667,0.8936563573883162,0.06715669349947123,5.905506742632197
moral,Perspective_Shift,483.6666666666667,0.9283333333333333,0.21547915239834836,17.55327207229632
moral,Question_and_Answering,483.6666666666667,0.8546907101255874,0.08540623854740363,7.4295656251368465
moral,Reconciliation,483.6666666666667,0.8865684715394314,0.05739005617236747,5.336219530239858
moral,backtracking,483.6666666666667,0.6025725832659186,0.021904701540186398,2.590331344308693
moral,backward_chaining,483.6666666666667,0.008000599242649467,0.0001125322956015022,0.011376932845641985
moral,subgoal,483.6666666666667,0.997,0.1977926864060722,13.397176442388579
moral,verification,483.6666666666667,0.6820777240764172,0.05962286119084389,5.053667726865201
planning,Conflict_of_Perspectives,483.0,0.8903292819140943,0.04211240485820161,15.275886098160896
planning,Perspective_Shift,483.0,0.9982416302765648,0.12327960202293214,42.478747558719874
planning,Question_and_Answering,483.0,0.89956409186639,0.1062224620350042,44.18916390026751
planning,Reconciliation,483.0,0.9132236444400338,0.035988156282999985,14.557646855452973
planning,backtracking,483.0,0.6831447162923286,0.0128967266160514,4.811996123194288
planning,backward_chaining,483.0,0.34956533272980445,0.00945298549496785,3.563840002123767
planning,subgoal,483.0,0.9405580500260243,0.04236993896421548,9.952333618492808
planning,verification,483.0,0.9968165938864629,0.23113450478249853,75.82396208440981
safety,Conflict_of_Perspectives,265.6666666666667,0.7203525502903037,0.043364778019961116,2.4264404136519766
safety,Perspective_Shift,265.6666666666667,0.931621623936167,0.18309346872015878,9.379279080915008
safety,Question_and_Answering,265.6666666666667,0.6433754705920217,0.06392406718193973,3.886540579128152
safety,Reconciliation,265.6666666666667,0.6706436962368221,0.03439546705051438,1.798664375216011
safety,backtracking,265.6666666666667,0.5664624697760394,0.0239616967765527,1.323203079688525
safety,backward_chaining,265.6666666666667,0.0080128205128205,0.00023520874578021665,0.012286324786324784
safety,subgoal,265.6666666666667,0.8650712530793062,0.17681984051052205,7.562284448065138
safety,verification,265.6666666666667,0.5724967872939691,0.05448183450706071,3.7427188385038352
security,Conflict_of_Perspectives,390.3333333333333,0.9110042288735444,0.06578549575015193,16.60735423333719
security,Perspective_Shift,390.3333333333333,0.993390006064971,0.16145392016081023,35.29439566860369
security,Question_and_Answering,390.3333333333333,0.7676673188549016,0.05778673928997443,17.996144019227533
security,Reconciliation,390.3333333333333,0.9350159650102063,0.04325290806784002,10.008827838807374
security,backtracking,390.3333333333333,0.6600111757383275,0.02388301167794962,8.120574831180082
security,backward_chaining,390.3333333333333,0.2503446713892166,0.008249167848182616,3.7224132339687195
security,subgoal,390.3333333333333,0.9472463427469276,0.0665155532944154,9.962608409947316
security,verification,390.3333333333333,0.921643425839585,0.13248036031101137,32.58034825831774
