domain,contrast,estimate,ci_low,ci_high,metric,bootstrap_reps
math,DeltaDialectical|Metadata,0.0078041713785852,-0.0012278637686027,0.0178047837522602,AUROC,500
math,DeltaExecutive|Metadata,0.0103615282198281,0.0016667288490002,0.0177246976797078,AUROC,500
math,DeltaExecutive|Dialectical,0.0001402004693148,-0.0052351071585312,0.0057226250011016,AUROC,500
math,DeltaDialectical|Executive,-0.002417156371928,-0.0089347404629972,0.0042790804289253,AUROC,500
math,DeltaTiming,0.0006633969937316,-0.006076549206654,0.0074574857897895,AUROC,500
math,DeltaCoupling,-0.0019381220311055,-0.0051031222575743,0.0015336556134806,AUROC,500
math,DeltaMotifs,0.0001670063362126,-0.0063253005589336,0.0063758654629641,AUROC,500
code,DeltaDialectical|Metadata,-0.0013047929888631,-0.01177386054984,0.0094888322627636,AUROC,500
code,DeltaExecutive|Metadata,0.0286315198066097,0.0140150059442689,0.0428926913342497,AUROC,500
code,DeltaExecutive|Dialectical,0.0257410152250491,0.0131570681631275,0.0389554668577799,AUROC,500
code,DeltaDialectical|Executive,-0.0041952975704236,-0.0118011675115392,0.0019428431662725,AUROC,500
code,DeltaTiming,-0.0036704233369433,-0.0105492897225167,0.0026415167088331,AUROC,500
code,DeltaCoupling,-0.000654244643141,-0.0065736295904293,0.0056981477212202,AUROC,500
code,DeltaMotifs,-0.0057588313786081,-0.0125101087605292,1.404105839799683e-05,AUROC,500
gpqa,DeltaDialectical|Metadata,0.0053449636919034,0.0011311889847795,0.0104681715248836,AUROC,500
gpqa,DeltaExecutive|Metadata,0.0104320197696483,0.0022066572814193,0.0172275136828157,AUROC,500
gpqa,DeltaExecutive|Dialectical,0.0079745426552716,0.0004217189629917,0.014815002941614,AUROC,500
gpqa,DeltaDialectical|Executive,0.0028874865775266,-0.0010870221989744,0.0066892938378301,AUROC,500
gpqa,DeltaTiming,0.0029272023888324,-0.0010945851237899,0.0069362893178308,AUROC,500
gpqa,DeltaCoupling,0.00316991012459,-0.0010716893953511,0.007478058736439,AUROC,500
gpqa,DeltaMotifs,-0.0032797415040034,-0.0067683731235772,0.0006596195124345,AUROC,500
planning,DeltaDialectical|Metadata,0.0070965175465901,-0.0019302792399911,0.0159002920226664,AUROC,500
planning,DeltaExecutive|Metadata,0.0037952710548102,-0.0027833478354372,0.0100712949466667,AUROC,500
planning,DeltaExecutive|Dialectical,0.0062537697625969,0.001099171111063,0.0114710531092423,AUROC,500
planning,DeltaDialectical|Executive,0.0095550162543768,0.0006396794826618,0.0183196265785208,AUROC,500
planning,DeltaTiming,0.0159753982225447,0.0080063404696636,0.0234215038745661,AUROC,500
planning,DeltaCoupling,0.0016958281078666,-0.0027526924699969,0.0060090395182693,AUROC,500
planning,DeltaMotifs,-0.0001459471258102,-0.0042418134810832,0.0029589300320325,AUROC,500
moral,DeltaDialectical|Metadata,0.0041023485943518,-0.0030828134350725,0.0110303556698485,R2,500
moral,DeltaExecutive|Metadata,0.0041699528434769,-0.0007736447510512,0.008767173691184,R2,500
moral,DeltaExecutive|Dialectical,0.0012593288316666,-0.0022761791061788,0.0045250190937804,R2,500
moral,DeltaDialectical|Executive,0.0011917245825415,-0.0038514738947281,0.0067200852303392,R2,500
moral,DeltaTiming,0.0002256517619468,-0.0044777810008579,0.0045495940918094,R2,500
moral,DeltaCoupling,-0.0025073685098191,-0.0041089245564092,-0.000824650175262,R2,500
moral,DeltaMotifs,-0.0011427044098384,-0.0055762252767425,0.003046282300501,R2,500
idea,DeltaDialectical|Metadata,3.257614514984297e-05,-0.0023572110354938,0.0024216710200765,R2,500
idea,DeltaExecutive|Metadata,-0.0009940859463907,-0.0015368683928847,-0.0003244761130893,R2,500
idea,DeltaExecutive|Dialectical,-0.0009227913714086,-0.0017627528322527,-0.0001362285721855,R2,500
idea,DeltaDialectical|Executive,0.0001038707201319,-0.0022899494347641,0.0023115884948271,R2,500
idea,DeltaTiming,0.0006742554393287,-0.0022584707956118,0.0037634337307012,R2,500
idea,DeltaCoupling,-0.0008145210475476,-0.0026375689998266,0.0010873969530291,R2,500
idea,DeltaMotifs,0.000188864376069,-0.001800826891103,0.0019851786416507,R2,500
safety,DeltaDialectical|Metadata,-0.0086220019034741,-0.0160668561509102,-0.0017216691904334,R2,500
safety,DeltaExecutive|Metadata,0.0020084109355189,-0.0076409113456905,0.0110529024721474,R2,500
safety,DeltaExecutive|Dialectical,0.0005184218143836,-0.0101453590934208,0.0100773791078579,R2,500
safety,DeltaDialectical|Executive,-0.0101119910246094,-0.0166083130685373,-0.0028066736420992,R2,500
safety,DeltaTiming,0.0103780545761712,0.00046789472356,0.0193884368587831,R2,500
safety,DeltaCoupling,-0.0007108142789207,-0.0058603413362482,0.0036783314808998,R2,500
safety,DeltaMotifs,4.0566463427538224e-05,-0.0106776804902094,0.0103929297871708,R2,500
security,DeltaDialectical|Metadata,0.0018602613264678,-0.0048014606212329,0.0086763105690341,AUROC,500
security,DeltaExecutive|Metadata,0.0126142496628977,0.0032195590348688,0.0213948564621055,AUROC,500
security,DeltaExecutive|Dialectical,0.0142034705404845,0.0051193177019422,0.0235403597690181,AUROC,500
security,DeltaDialectical|Executive,0.0034494822040547,-0.0031410395718834,0.0100165467515721,AUROC,500
security,DeltaTiming,-0.0006229175228669,-0.0049900311531318,0.0034296204516272,AUROC,500
security,DeltaCoupling,0.0015882019285309,-0.0011849641195968,0.0043288727181182,AUROC,500
security,DeltaMotifs,-0.0029162321981108,-0.0072348217778923,0.0014138432743096,AUROC,500
