gen_model,task_type,generated,completed,trackb,completion_rate,trackb_coverage
anchor,code,175,174,175,0.9942857142857143,1.0
anchor,gpqa,500,446,500,0.892,1.0
anchor,idea,500,500,500,1.0,1.0
anchor,math,500,472,500,0.944,1.0
anchor,moral,500,500,499,1.0,0.998
anchor,planning,500,492,500,0.984,1.0
anchor,safety,313,313,312,1.0,0.9968051118210862
anchor,security,500,439,500,0.878,1.0
gemma4_31b,code,175,175,175,1.0,1.0
gemma4_31b,gpqa,500,500,500,1.0,1.0
gemma4_31b,idea,500,500,500,1.0,1.0
gemma4_31b,math,500,500,500,1.0,1.0
gemma4_31b,moral,500,500,500,1.0,1.0
gemma4_31b,planning,500,500,500,1.0,1.0
gemma4_31b,safety,313,313,313,1.0,1.0
gemma4_31b,security,500,496,496,0.992,0.992
gemma4_e4b,code,175,175,175,1.0,1.0
gemma4_e4b,gpqa,500,500,500,1.0,1.0
gemma4_e4b,idea,500,500,500,1.0,1.0
gemma4_e4b,math,500,500,485,1.0,0.97
gemma4_e4b,moral,500,500,500,1.0,1.0
gemma4_e4b,planning,500,500,500,1.0,1.0
gemma4_e4b,safety,313,313,57,1.0,0.18210862619808307
gemma4_e4b,security,500,500,500,1.0,1.0
qwen35_27b,code,175,158,159,0.9028571428571428,0.9085714285714286
qwen35_27b,gpqa,500,489,490,0.978,0.98
qwen35_27b,idea,500,498,498,0.996,0.996
qwen35_27b,math,500,439,439,0.878,0.878
qwen35_27b,moral,500,497,497,0.994,0.994
qwen35_27b,planning,500,499,499,0.998,0.998
qwen35_27b,safety,313,313,313,1.0,1.0
qwen35_27b,security,500,459,460,0.918,0.92
qwen35_4b,code,175,92,94,0.5257142857142857,0.5371428571428571
qwen35_4b,gpqa,500,334,339,0.668,0.678
qwen35_4b,idea,500,161,161,0.322,0.322
qwen35_4b,math,500,408,409,0.816,0.818
qwen35_4b,moral,500,420,420,0.84,0.84
qwen35_4b,planning,500,443,448,0.886,0.896
qwen35_4b,safety,313,291,291,0.9297124600638977,0.9297124600638977
qwen35_4b,security,500,184,185,0.368,0.37
qwen35_9b,code,175,129,131,0.7371428571428571,0.7485714285714286
qwen35_9b,gpqa,500,418,422,0.836,0.844
qwen35_9b,idea,500,344,344,0.688,0.688
qwen35_9b,math,500,438,439,0.876,0.878
qwen35_9b,moral,500,485,485,0.97,0.97
qwen35_9b,planning,500,490,493,0.98,0.986
qwen35_9b,safety,313,308,308,0.9840255591054313,0.9840255591054313
qwen35_9b,security,500,303,303,0.606,0.606
reasoner,code,175,154,154,0.88,0.88
reasoner,gpqa,500,484,484,0.968,0.968
reasoner,idea,500,493,493,0.986,0.986
reasoner,math,500,498,498,0.996,0.996
reasoner,moral,500,500,500,1.0,1.0
reasoner,planning,500,442,458,0.884,0.916
reasoner,safety,313,313,312,1.0,0.9968051118210862
reasoner,security,500,397,398,0.794,0.796
