family,lower_model,higher_model,domain,metric,n_matched_prompts,mean_difference_higher_minus_lower,ci_lo,ci_hi
Qwen,qwen35_4b,qwen35_9b,math,dialectical_amount,365,-0.009514187377382256,-0.01775553707128302,-0.001178479996590471
Qwen,qwen35_4b,qwen35_9b,math,control_amount,365,0.00314568945069427,-0.004821102091239388,0.010983695010816209
Qwen,qwen35_4b,qwen35_9b,math,dialectical_centroid,364,0.0018888991762034115,-0.006124771040547162,0.009059233135222089
Qwen,qwen35_4b,qwen35_9b,math,control_centroid,365,-0.0007256039951695251,-0.0073530452537072305,0.0051057927701508065
Qwen,qwen35_4b,qwen35_9b,math,coupling_excess,365,0.0008652185133512627,-0.0026284357341066493,0.004412828907729053
Qwen,qwen35_4b,qwen35_9b,code,dialectical_amount,89,0.020594515884642183,-0.008353733609579122,0.06569136295707766
Qwen,qwen35_4b,qwen35_9b,code,control_amount,89,0.015173600307653861,-0.0012361988478706157,0.030284110463339942
Qwen,qwen35_4b,qwen35_9b,code,dialectical_centroid,88,0.008686400569956364,-0.01380458761538743,0.031004831800723342
Qwen,qwen35_4b,qwen35_9b,code,control_centroid,89,0.015074615898168333,-0.006551854488055839,0.03928916001425168
Qwen,qwen35_4b,qwen35_9b,code,coupling_excess,89,-0.008023379950821299,-0.015414312674087282,0.0008495922617469164
Qwen,qwen35_4b,qwen35_9b,gpqa,dialectical_amount,328,-0.01193385497237401,-0.019248281008663017,-0.004706337164328675
Qwen,qwen35_4b,qwen35_9b,gpqa,control_amount,328,0.00289657712318223,-0.0024342457486121977,0.008131892581640477
Qwen,qwen35_4b,qwen35_9b,gpqa,dialectical_centroid,328,0.0026109269189609386,-0.0008437164791773803,0.006441419167900485
Qwen,qwen35_4b,qwen35_9b,gpqa,control_centroid,328,0.0005121419419552427,-0.003987387817351712,0.005457039915805829
Qwen,qwen35_4b,qwen35_9b,gpqa,coupling_excess,328,-0.0008727630188202483,-0.00377988073098634,0.0017439375798426475
Qwen,qwen35_4b,qwen35_9b,planning,dialectical_amount,442,-0.020800718366667192,-0.02748471170907697,-0.0138748084609347
Qwen,qwen35_4b,qwen35_9b,planning,control_amount,442,0.017935708732393498,0.011481784365845987,0.023588462767394184
Qwen,qwen35_4b,qwen35_9b,planning,dialectical_centroid,442,0.004400273077800193,-0.0006962737439646072,0.01004590446593171
Qwen,qwen35_4b,qwen35_9b,planning,control_centroid,442,-0.00033137793573122096,-0.0056056161425841805,0.0042561239929822785
Qwen,qwen35_4b,qwen35_9b,planning,coupling_excess,442,-0.00015296649028562757,-0.0026975387661914785,0.0024819690518734275
Qwen,qwen35_4b,qwen35_9b,moral,dialectical_amount,409,-0.011070507911822533,-0.020428782687479448,-0.0017677492735667592
Qwen,qwen35_4b,qwen35_9b,moral,control_amount,409,-0.008651413226809497,-0.01659218330688319,-0.0006546510185745435
Qwen,qwen35_4b,qwen35_9b,moral,dialectical_centroid,409,0.0038668208762646845,-0.0036149453356292037,0.0105260182265181
