task_type,gen_model,traces,dialectical_amount,control_amount,dialectical_centroid,control_centroid,coupling_excess
code,gemma4_31b,175,0.22682643802476884,0.2484683417595983,0.5307294900832266,0.5453806717744808,0.04202911102461666
code,gemma4_e4b,175,0.14264449601718174,0.17502875229880197,0.49704040285304,0.5339545442705884,0.040324650791201115
code,qwen35_27b,159,0.2447435113996758,0.2011499360109182,0.49295642838710513,0.5097627451758134,0.040414826191419936
code,qwen35_4b,94,0.2333310596428544,0.22821058327181815,0.4995104276492566,0.4889481142217825,0.04511475199613427
code,qwen35_9b,131,0.2442752438189686,0.22777862853569517,0.5023117277937172,0.516587844565259,0.03858712087777944
code,reasoner,154,0.3700414646174677,0.3034720218793979,0.48766247371430826,0.5317643614019623,0.06347419557151102
gpqa,gemma4_31b,500,0.3747829799965294,0.2981628617479331,0.5515023785626412,0.5694575778631333,0.07468299188556207
gpqa,gemma4_e4b,500,0.26528409944062314,0.3234858524837795,0.5607578517311366,0.5017918557884197,0.07731357613707224
gpqa,qwen35_27b,490,0.36786315244592965,0.2713219497591324,0.5158706479488894,0.5236398778837095,0.06707335007891825
gpqa,qwen35_4b,339,0.4026412266293544,0.2696518256360568,0.514175706412212,0.5170089749588921,0.06629091205301998
gpqa,qwen35_9b,422,0.39482237591657793,0.26773007396061305,0.5143710875077638,0.5149663546720721,0.06787526933472882
gpqa,reasoner,484,0.4307806243760342,0.2760178614724084,0.5270918356506652,0.5252177841858963,0.08755645688902434
idea,gemma4_31b,500,0.6202327563684749,0.40076731359102796,0.49632831225085633,0.5262813876207751,0.09239852765610534
idea,gemma4_e4b,500,0.48690961605342614,0.38376965228683513,0.5427126971577444,0.543757686251618,0.08938174493100162
idea,qwen35_27b,498,0.4805529950667961,0.3424018839854637,0.45639303966589045,0.47665803120229616,0.12145186101821742
idea,qwen35_4b,161,0.5492827688102572,0.3686762846101647,0.45764418521050837,0.4685676018196674,0.12371387916108467
idea,qwen35_9b,344,0.4924001834427143,0.3343194456892232,0.465855079913966,0.48282487413628045,0.12689288862001158
idea,reasoner,493,0.5545049344104107,0.26033832123702877,0.4948517756078438,0.5117699908957217,0.0512021945402236
math,gemma4_31b,500,0.2058189074160822,0.26017302653310037,0.6383718909369238,0.6539010179646444,0.06235578355725104
math,gemma4_e4b,485,0.20288358979097199,0.3928899004135683,0.5720902353760614,0.5270436185901602,0.07290870369097896
math,qwen35_27b,439,0.29173172220754384,0.35640532897379174,0.5260413260351646,0.5091925698227937,0.06433001739332307
math,qwen35_4b,409,0.31249218667397216,0.3476371782936241,0.5222660090263156,0.5078282005134848,0.0671797112338378
math,qwen35_9b,439,0.3075987532505241,0.3509999343566834,0.5234586276202633,0.5061977722934163,0.06776570050830756
math,reasoner,498,0.22606873380864168,0.31788453947347556,0.5507269130202785,0.47309378709608796,0.06293962946757475
moral,gemma4_31b,500,0.5352241208052219,0.2729927728459402,0.5525653140732889,0.6525811611564344,0.07794789415742284
moral,gemma4_e4b,500,0.25627544793965984,0.49315686672889986,0.6626136138287446,0.49190664403858303,0.04550998637806338
moral,qwen35_27b,497,0.4148148769850317,0.2568374479316735,0.524881226207956,0.5731000641483383,0.0726370228951858
moral,qwen35_4b,420,0.420662785398804,0.2635427487973411,0.5112007097140197,0.5482443203477049,0.06845528810180891
moral,qwen35_9b,485,0.4079836328007344,0.25208283692166006,0.514094238214237,0.5600156871754719,0.0706549455809346
moral,reasoner,500,0.517631979776093,0.13798401537071042,0.5687767970448954,0.4836277575966817,0.04904415190502252
planning,gemma4_31b,500,0.3266415390881342,0.33064436107746775,0.5597017968685863,0.5799002607908129,0.04418094832690003
planning,gemma4_e4b,500,0.22520281776269113,0.32482562356135014,0.6016696846271774,0.5402075589338734,0.049176737028666824
planning,qwen35_27b,499,0.2933423702252452,0.28354802248507094,0.5236680006386801,0.5520091805358859,0.03155691276404383
planning,qwen35_4b,448,0.34232741976330583,0.271401601292722,0.5109415779263481,0.530576313249535,0.030933338511860867
planning,qwen35_9b,493,0.3258768656153249,0.2854740729462956,0.5165527377821671,0.5293504871848407,0.030956823890875167
planning,reasoner,458,0.332224738740127,0.2792312537834943,0.5602287849764952,0.562110290861582,0.05073985989983266
safety,gemma4_31b,313,0.2403042862707618,0.07026672677476006,0.5627724854787324,0.730792874829452,0.016054012016209193
safety,gemma4_e4b,57,0.2394276668260718,0.4187052741426232,0.78495100473158,0.43827361376369617,0.04846849891745567
safety,qwen35_27b,313,0.32160566443980887,0.2905583943026088,0.5492091385530955,0.5123713994446633,0.09512353271321992
safety,qwen35_4b,291,0.31742954079374086,0.28963455453342746,0.5449734963719854,0.49462954784669694,0.09121829037743058
safety,qwen35_9b,308,0.3162461618732435,0.2923164781946402,0.5423151891329434,0.5123268322032245,0.08966610187886494
safety,reasoner,312,0.5136533656318183,0.1715100552914354,0.5165023785982795,0.45812395631255315,0.056097238953556144
security,gemma4_31b,496,0.34317744905848385,0.24666358757159162,0.5466570442772938,0.5857124523445368,0.06051119083667763
security,gemma4_e4b,500,0.25420307789718677,0.26821930290534945,0.5959637945486028,0.5038308409370164,0.061580751091923784
security,qwen35_27b,460,0.30347247448618475,0.23962064771067226,0.5142876082504776,0.5355486969957751,0.06334352351730192
security,qwen35_4b,185,0.3678346705549116,0.2359750632163131,0.5015688532329997,0.5051935817071825,0.066044632066049
security,qwen35_9b,303,0.3486398319004782,0.23629194021253436,0.5017187124895248,0.524812675736672,0.061844357375271435
security,reasoner,398,0.35234687571541545,0.1599980171728944,0.5870708242872934,0.46473139347018866,0.04535361478141461
