metric,effect,n,partial_eta_sq,p_value,model_adj_r2,q_value
dialectical_amount,domain,18624,0.4140891624143947,0.0,0.500917455071809,0.0
dialectical_amount,model,18624,0.13157899854864671,0.0,0.500917455071809,0.0
dialectical_amount,domain×model,18624,0.12292280692438715,0.0,0.500917455071809,0.0
dialectical_amount,trace length,18624,0.032646880836296945,4.2744876800822896e-136,0.500917455071809,6.106410971546129e-136
control_amount,domain,18624,0.1446931183747151,0.0,0.3557826255164128,0.0
control_amount,model,18624,0.10271947203499424,0.0,0.3557826255164128,0.0
control_amount,domain×model,18624,0.19915066219132707,0.0,0.3557826255164128,0.0
control_amount,trace length,18624,0.023077778736226354,2.5676139866509495e-96,0.3557826255164128,3.020722337236411e-96
dialectical_centroid,domain,18233,0.0810889330400044,0.0,0.24167322304617977,0.0
dialectical_centroid,model,18233,0.017888780363645863,8.357468697394378e-69,0.24167322304617977,9.286076330438197e-69
dialectical_centroid,domain×model,18233,0.06233841611436388,2.2958420151259995e-223,0.24167322304617977,3.826403358543332e-223
dialectical_centroid,trace length,18233,0.0405074253716944,1.5493530492022048e-165,0.24167322304617977,2.3836200756956995e-165
control_centroid,domain,18331,0.02858142604621842,2.5544461599673872e-110,0.19127209472525664,3.193057699959234e-110
control_centroid,model,18331,0.09669922865603128,0.0,0.19127209472525664,0.0
control_centroid,domain×model,18331,0.08612156964877672,0.0,0.19127209472525664,0.0
control_centroid,trace length,18331,0.0001793100951446945,0.07019940956740477,0.19127209472525664,0.07019940956740477
coupling_excess,domain,18624,0.17453403073309837,0.0,0.2628830534134632,0.0
coupling_excess,model,18624,0.009929728333044563,3.791786699119487e-38,0.2628830534134632,3.9913544201257754e-38
coupling_excess,domain×model,18624,0.11733251935511863,0.0,0.2628830534134632,0.0
coupling_excess,trace length,18624,0.0281290836415676,2.8630527104506285e-117,0.2628830534134632,3.8174036139341716e-117
