domain,motif,n,std_log_odds,se,odds_ratio_per_sd,p_value,q_value
math,question_to_subgoal,2767,0.012305731762900821,0.04229539653532407,1.012381758816122,0.7710916190199221,0.8733118847939709
math,conflict_to_verification,2767,-0.10438045517435396,0.06206241164326622,0.9008824868097127,0.0925954671656125,0.25332795940005953
math,reconciliation_to_verification,2767,0.16174167501022726,0.05778296794212239,1.1755565264664436,0.005124150316202922,0.03676185361094943
math,D_to_E,2767,-0.05560567336569808,0.07039618124779641,0.9459120606777085,0.42958841316893936,0.6204270235665358
math,E_to_D,2767,0.00023223337859943835,0.07131230843704939,1.000232260346858,0.9974016392985686,0.9974016392985685
code,question_to_subgoal,871,-0.27438947763468496,0.10068613891101065,0.7600360005836095,0.0064263297241104545,0.03676185361094943
code,conflict_to_verification,871,0.7263805091454261,0.23842136529253433,2.0675834485264706,0.002314261766328126,0.02314261766328126
code,reconciliation_to_verification,871,0.38451920724551886,0.20140517107731526,1.468907911355547,0.05623856631577734,0.1730417425100841
code,D_to_E,871,0.06381303703236986,0.26233764611867905,1.0658930975944143,0.807813493434423,0.8733118847939709
code,E_to_D,871,0.7384840734526475,0.271019543612341,2.0927606372547474,0.0064333243819161496,0.03676185361094943
gpqa,question_to_subgoal,2620,-0.03603313599106611,0.046086636538809025,0.9646083297005549,0.43429891649657504,0.6204270235665358
gpqa,conflict_to_verification,2620,0.08961546218201472,0.07321197135011266,1.0937536132007013,0.22093156984363826,0.45069356328368765
gpqa,reconciliation_to_verification,2620,0.06939926127888424,0.07919008062075493,1.0718640775494124,0.3808326941197282,0.6204270235665358
gpqa,D_to_E,2620,0.28271165830320866,0.12780416840279382,1.3267225572260577,0.026961887260001476,0.1078475490400059
gpqa,E_to_D,2620,0.4875191250578351,0.12634086240815695,1.6282716666375228,0.00011396356694823342,0.004558542677929336
planning,question_to_subgoal,2817,0.13159706841803648,0.1925594935757903,1.1406486233061908,0.4943478523477638,0.649370223164952
planning,conflict_to_verification,2817,-0.17978981783800468,0.07439199567625142,0.8354457887611239,0.015658055528731098,0.06959135790547154
planning,reconciliation_to_verification,2817,-0.07880430604265601,0.06680459679676373,0.9242207711693737,0.23814979106277978,0.45361864964339
planning,D_to_E,2817,0.11217255231539684,0.1427197795905167,1.118705879281378,0.4318888101412559,0.6204270235665358
planning,E_to_D,2817,0.4062252211711566,0.133010766272817,1.5011406030332035,0.0022575356828546775,0.02314261766328126
moral,question_to_subgoal,2902,0.015636103709524528,0.04867479876688118,1.0157589872168094,0.7480314583710223,0.8733118847939709
moral,conflict_to_verification,2902,-0.08217661571020715,0.03802697940416892,0.921109261962892,0.030694703161356546,0.11161710240493289
moral,reconciliation_to_verification,2902,-0.029538331399384363,0.04074724422452918,0.9708936612152322,0.46850353281229373,0.6462117693962672
moral,D_to_E,2902,-0.015405403308994467,0.05866543979010719,0.9847126529045607,0.792860755113232,0.8733118847939709
moral,E_to_D,2902,0.004876386114143063,0.06311383591445882,1.0048882950345395,0.9384140497121667,0.9624759484227351
idea,question_to_subgoal,2496,0.005241599128616655,0.05607212030322728,1.0052553603424121,0.9255225590839208,0.9624759484227351
idea,conflict_to_verification,2496,-0.051137729617604405,0.04906380742637513,0.9501477980272338,0.29728656381822016,0.5405210251240367
idea,reconciliation_to_verification,2496,0.08808965919555956,0.05276084917682715,1.0920860331940316,0.09499798477502233,0.25332795940005953
idea,D_to_E,2496,-0.33307632370631457,0.1245810099451107,0.7167154896855557,0.007504812150682456,0.037524060753412275
idea,E_to_D,2496,-0.1584794700512893,0.12149895775731798,0.8534404847004602,0.19210781072525884,0.42690624605613076
safety,question_to_subgoal,1594,0.07873465770566843,0.11762568922504785,1.0819172055863189,0.5032619229528378,0.649370223164952
safety,conflict_to_verification,1594,0.2655282005396957,0.13538912846108692,1.3041196305811393,0.04985307710911131,0.1661769236970377
safety,reconciliation_to_verification,1594,-0.08611005647090053,0.10237917825332286,0.9174932495942868,0.40029777162296687,0.6204270235665358
safety,D_to_E,1594,0.37210199900501606,0.24407148265011064,1.4507809519601964,0.1273684927364249,0.2996905711445292
safety,E_to_D,1594,0.1363810210741036,0.2500738424961255,1.1461185057144676,0.5855038822640748,0.7097016754716058
security,question_to_subgoal,2238,0.029975767666817546,0.05245870753011041,1.0304295639384629,0.5677173907071575,0.7096467383839469
security,conflict_to_verification,2238,-0.07926889455568956,0.0653800356407224,0.9237914885431914,0.22534678164184385,0.45069356328368765
security,reconciliation_to_verification,2238,0.061264569240404305,0.07638865471805564,1.0631801617486347,0.42254638413135226,0.6204270235665358
security,D_to_E,2238,0.16730244380900486,0.10399101843776871,1.1821117336239837,0.10765651921221532,0.2691412980305383
security,E_to_D,2238,0.3377019236346316,0.10828654106730219,1.4017226207438962,0.0018171521983572241,0.02314261766328126
