domain,behavior,n,std_log_odds_later_vs_earlier,se,odds_ratio_per_sd,p_value,q_value
math,Question_and_Answering,2767,-0.008764820349124373,0.045724553973836665,0.9912734787122739,0.8479870851861298,0.919850397490039
code,Question_and_Answering,871,0.3333323366087682,0.12794100390154794,1.3956110340455954,0.009177785030562253,0.049118785259644734
gpqa,Question_and_Answering,2620,0.14074099917798372,0.054622405263487536,1.151126466670696,0.009977253255865336,0.049118785259644734
planning,Question_and_Answering,2817,0.3938508385291521,0.09270258484655604,1.4826793735436057,2.151661727279096e-05,0.0002754127010917243
moral,Question_and_Answering,2902,-0.04555981920557184,0.045142385063602915,0.9554624458579719,0.3128561645518666,0.5720798437519846
idea,Question_and_Answering,2496,0.12481973356571271,0.057257922952230554,1.1329442028459564,0.029260748001541097,0.12484585813990869
safety,Question_and_Answering,1594,-0.04924870451715471,0.12031489126766014,0.951944347396034,0.6822962212657582,0.8243925188506082
security,Question_and_Answering,2238,-0.0166859135807437,0.049250056371340334,0.9834525252132078,0.7347604856841994,0.8397262693533707
math,Perspective_Shift,2767,0.03758720361043273,0.04214650988043518,1.0383025368640058,0.3724881076639126,0.609161608111712
code,Perspective_Shift,871,0.30941173569103797,0.10864337578470339,1.362623295663308,0.0044000776233046185,0.031289440876832844
gpqa,Perspective_Shift,2620,0.04422041541311414,0.04930586906061936,1.0452127104919235,0.3697941279573026,0.609161608111712
planning,Perspective_Shift,2817,-0.38336493999871457,0.06883617494946666,0.68156412388421,2.5585796234695392e-08,5.458303196735017e-07
moral,Perspective_Shift,2902,-0.034345647078426286,0.04230147683603244,0.9662374697532552,0.41683439020771407,0.609161608111712
idea,Perspective_Shift,2496,-0.13789154944072807,0.05998855019910153,0.8711931680090084,0.02152589381140081,0.09840408599497512
safety,Perspective_Shift,1594,-0.09856759814364861,0.14321997926593605,0.9061344375380557,0.4913109802618645,0.6835631029730288
security,Perspective_Shift,2238,0.08401803398280247,0.05671330536826193,1.0876485082664555,0.1384861934167403,0.3056247027128062
math,Conflict_of_Perspectives,2767,-0.09138350249462796,0.043120476502019445,0.9126676334615724,0.03406849723896508,0.12952756796750145
code,Conflict_of_Perspectives,871,0.16921967120864848,0.1041198538725914,1.184380284598283,0.10411159428854305,0.27763091810278145
gpqa,Conflict_of_Perspectives,2620,0.05537890688764039,0.05064956243527182,1.0569410210450418,0.27422969182537194,0.5554266613159258
planning,Conflict_of_Perspectives,2817,-0.42926203838618426,0.06351480733771647,0.6509893226377499,1.3946987436017832e-11,8.926071959051412e-10
moral,Conflict_of_Perspectives,2902,-0.028502651477442936,0.04308093990756392,0.9718997171725433,0.5082231192009448,0.692048502741712
idea,Conflict_of_Perspectives,2496,-0.046159590485841576,0.05695298737423291,0.9548895587413633,0.41766099328784745,0.609161608111712
safety,Conflict_of_Perspectives,1594,-0.07581795836761034,0.09936421075959875,0.9269849410524348,0.4454449966953298,0.6335217730778023
security,Conflict_of_Perspectives,2238,0.0031092954294208927,0.052964101383216916,1.0031141343023167,0.9531865074540955,0.9683164520168589
math,Reconciliation,2767,0.05268947638442277,0.05857770069749719,1.054102270644965,0.3683969881071584,0.609161608111712
code,Reconciliation,871,0.009473536691435774,0.11119636240072134,1.0095185526814063,0.9321052030739846,0.9621731128505647
gpqa,Reconciliation,2620,-0.2401678628093764,0.0675516611210004,0.7864958265860105,0.00037751739567762,0.0034515876176239545
planning,Reconciliation,2817,-0.46135356823886114,0.071142190397595,0.6304297380560312,8.876104549977454e-11,2.8403534559927853e-09
moral,Reconciliation,2902,0.05714945566274096,0.06553119546075765,1.0588140443254412,0.3831563225583752,0.609161608111712
idea,Reconciliation,2496,-0.23803854823185946,0.06332350264916382,0.7881723078592956,0.00017053461366075808,0.0018190358790480862
safety,Reconciliation,1594,0.0005510695853566758,0.13201285645474417,1.0005512214520957,0.996669349872882,0.996669349872882
security,Reconciliation,2238,-0.104495825682726,0.06627033627784226,0.900778557534528,0.1148389140117844,0.2826804037213154
math,verification,2767,0.1122402491360803,0.056535097202671046,1.118781614676179,0.04710890000839941,0.1674983111409757
code,verification,871,-0.147345847099064,0.13574376237089983,0.8629954613220286,0.2777133306579629,0.5554266613159258
gpqa,verification,2620,0.1139981898600336,0.06825190482717268,1.1207500961677754,0.0948686193762218,0.2639822452207911
planning,verification,2817,0.14651309608027646,0.08281154902430377,1.1577900932311764,0.07685465524766871,0.223577178902309
